function	section	offset	size	binding	kcfi_id	sha256
hyn_tprwreg_show	.text	0x19c8	180	LOCAL	0xdf43c25c	517845881473d1c5e21ca88e3683d9dd7f0774658c8846b62cd2e603ec53ecb2
hyn_tprwreg_store	.text	0x1a80	372	LOCAL	0x95a8ba07	16c1bd74012da8964f4f271b259da8498413dfbd7535cef1d47ca24727ed62db
hyn_fwupgradeapp_show	.text	0x1bf8	8	LOCAL	0xdf43c25c	e396875767c39b6fddf6e112dfc7833396eb4277b0ba2696f448a85c3d3fbc71
hyn_fwupgradeapp_store	.text	0x1c04	184	LOCAL	0x95a8ba07	dd104e4852a4986c5bd96c6fd30acb995c4a2a4627e55d20119302fb2223db34
hyntpfactorytest_show	.text	0x1cc0	8	LOCAL	0xdf43c25c	ed86e0b2911b6a4e9edfa1a48e9544ba115299466a1992e2370619d8ce8e29fc
hyntpfactorytest_store	.text	0x1ccc	8	LOCAL	0x95a8ba07	cdcef4c0228985dcfa483da914c81928ca0e30929ccd008e381016f068c06962
hyn_gesture_show	.text	0x1cd8	84	LOCAL	0xdf43c25c	6631f94f83c29f24320fb51e037950c8bc9726cbd8813c65affd364e3502504f
hyn_gesture_store	.text	0x1d30	32	LOCAL	0x95a8ba07	21cd4b579f01d1d2118eee86bbb2e3c86c16df6dedb268e64b22f76304ef7b0a
hyn_gesture_buf_show	.text	0x1d54	80	LOCAL	0xdf43c25c	ba55f81f3b5298f1a39d3b76f90dd31913d1183c73014cbb5cc1c62dab0ea550
hyn_gesture_buf_store	.text	0x1da8	8	LOCAL	0x95a8ba07	e396875767c39b6fddf6e112dfc7833396eb4277b0ba2696f448a85c3d3fbc71
hyn_probe	.text	0x1db4	576	LOCAL	0x5ef138aa	f75a6b5f554548ee864be4081ee6e2b3e63e607d19a8d154bc75d9a8e0f01062
hyn_remove	.text	0x1ff8	144	LOCAL	0x8effdd6d	e6c4909bf75f5f4d93c30d66105c79eda0f2c32e5f3b171fbdb44214a693a4ba
hyn_detect	.text	0x208c	32	LOCAL	0x30b22b8e	0708c299fa8c8af9c348a22ac23fac81727b5ab541feac4e5b8d15bc7637dc63
