file_offset	string
0x12a37	.shstrtab
0x12a41	.strtab
0x12a49	__ksymtab
0x12a53	.symtab
0x12a5b	__kcrctab
0x12a65	.hyp.rodata
0x12a71	.rela.rodata
0x12a7e	.rela.exit.data
0x12a8e	.rela.init.data
0x12a9e	.hyp.data
0x12aa8	.rela.data
0x12ab3	.rodata.str1.1
0x12ac3	of_find_property
0x12ad4	input_set_capability
0x12ae9	hyn_gesture_recovery
0x12afe	memcpy
0x12b05	hyn_probe.__key
0x12b15	of_property_read_variable_u32_array
0x12b39	__const_udelay
0x12b48	hyn_find_fw_idx
0x12b58	hyntpfactorytest_show
0x12b6e	hyn_tpfwver_show
0x12b7f	hyn_fwupgradeapp_show
0x12b95	hyn_tprwreg_show
0x12ba6	hyn_gesture_buf_show
0x12bbb	hyn_fwupdate_show
0x12bcd	hyn_gesture_show
0x12bde	cst8xx_fw
0x12be8	cst816t_fw
0x12bf3	hyn_boot_update_fw
0x12c06	gpiod_direction_output_raw
0x12c21	gpiod_direction_input
0x12c37	gpio_request
0x12c44	dev_attr_hyntpfactorytest
0x12c5e	cst8xx_touch_report
0x12c72	cst3xx_touch_report
0x12c86	hyn_input_dev_int
0x12c98	pm_wakeup_dev_event
0x12cac	input_event
0x12cb8	hyn_gesture_exit
0x12cc9	__mutex_init
0x12cd6	hyn_irq_init
0x12ce3	hyn_gesture_init
0x12cf4	hyn_update_firmware_init
0x12d0d	hyn_ts_data_init
0x12d1e	hyn_platform_data_init
0x12d35	memset
0x12d3c	hyn_detect
0x12d47	tiny_tpgesture_status
0x12d5d	hyn_attrs
0x12d67	hyn_gesture_mode_attrs
0x12d7e	____versions
0x12d8b	input_set_abs_params
0x12da0	i2c_transfer_buffer_flags
0x12dba	of_get_named_gpio_flags
0x12dd2	hyn_create_sysfs
0x12de3	hyn_release_sysfs
0x12df5	hyn_create_gesture_sysfs
0x12e0e	hyn_i2c_write_bytes
0x12e22	hyn_i2c_read_bytes
0x12e35	kmalloc_caches
0x12e44	_dev_err
0x12e4d	dev_attr_hyntpfwver
0x12e61	i2c_register_driver
0x12e75	i2c_del_driver
0x12e84	hynitron_i2c_driver
0x12e98	cst3xx_i2c_read_register
0x12eb1	hyn_eint_interrupt_handler
0x12ecc	hyn_detect_bootloader
0x12ee2	gpiod_to_irq
0x12eef	enable_irq
0x12efa	free_irq
0x12f03	request_threaded_irq
0x12f18	sysfs_remove_group
0x12f2b	hyn_attribute_group
0x12f3f	sysfs_create_group
0x12f52	hyn_gesture_group
0x12f64	cst3xx_touch_up
0x12f74	tpd_up
0x12f7b	dev_attr_hynfwupgradeapp
0x12f94	msleep
0x12f9b	hyn_enter_deep_sleep
0x12fb0	cst8xx_firmware_info
0x12fc5	cst3xx_firmware_info
0x12fda	hyn_firmware_info
0x12fec	cst3xx_touch_down
0x12ffe	tpd_down
0x13007	second_touch_fw_version
0x1301f	queue_work_on
0x1302d	cst8xx_fw_len
0x1303b	cst816t_fw_len
0x1304a	__kstrtabns_tiny_tp_power_contorl
0x1306c	__crc_tiny_tp_power_contorl
0x13088	__kstrtab_tiny_tp_power_contorl
0x130a8	__ksymtab_tiny_tp_power_contorl
0x130c8	__kstrtabns_tiny_tp_gesture_contorl
0x130ec	__crc_tiny_tp_gesture_contorl
0x1310a	__kstrtab_tiny_tp_gesture_contorl
0x1312c	__ksymtab_tiny_tp_gesture_contorl
0x1314e	__stack_chk_fail
0x1315f	_printk
0x13167	mutex_unlock
0x13174	mutex_lock
0x1317f	hyn_dt_match
0x1318c	of_find_matching_node_and_match
0x131ac	dev_attr_hyntprwreg
0x131c0	dev_attr_hyn_gesture_buf
0x131d9	sprintf
0x131e1	snprintf
0x131ea	hyn_remove
0x131f5	__flush_workqueue
0x13207	alloc_workqueue
0x13217	hyn_i2c_write_byte
0x1322a	hyn_i2c_read_byte
0x1323c	cst3xx_i2c_write
0x1324d	hyn_i2c_write
0x1325b	dev_attr_hynfwupdate
0x13270	hyn_check_gesture
0x13282	hyntpfactorytest_store
0x13299	hyn_tpfwver_store
0x132ab	hyn_fwupgradeapp_store
0x132c2	hyn_tprwreg_store
0x132d4	hyn_gesture_buf_store
0x132ea	hyn_fwupdate_store
0x132fd	hyn_gesture_store
0x1330f	irq_set_irq_type
0x13320	hyn_gesture_resume
0x13333	init_module
0x1333f	__this_module
0x1334d	cleanup_module
0x1335c	__mod_of__hyn_dt_match_device_table
0x13380	__mod_i2c__hyn_tpd_id_device_table
0x133a3	hyn_irq_disable
0x133b3	hyn_irq_enable
0x133c2	irq_set_irq_wake
0x133d3	kfree
0x133d9	gpio_free
0x133e3	hyn_irq_normal_mode
0x133f7	hyn_irq_gesture_mode
0x1340c	dev_attr_hyn_gesture_mode
0x13426	input_register_device
0x1343c	of_match_device
0x1344c	input_allocate_device
0x13462	input_free_device
0x13474	kmalloc_trace
0x13482	hyn_probe
0x1348c	hyn_gesture_suspend
0x134a0	hyn_tpd_id
0x134ab	yft_set_touch_device_used
0x134c5	yft_touchpanel_device_add
0x134df	kobject_create_and_add
0x134f6	cst3xx_i2c_read
0x13506	hyn_i2c_read
0x13513	gpio_to_desc
0x13520	hyn_reset_proc
0x1352f	hyn_reset_watchdog_proc
0x13547	__kmalloc
0x13551	disable_irq_nosync
0x13564	fortify_panic
0x13572	hyn_gesture_readdata
0x13587	hyn_ts_data
0x13593	_note_9
0x1359b	$d.99
0x135a1	$d.89
0x135a7	$d.79
0x135ad	$d.69
0x135b3	__UNIQUE_ID_author459
0x135c9	$d.59
0x135cf	$d.49
0x135d5	$d.39
0x135db	$d.129
0x135e2	$x.29
0x135e8	$d.119
0x135ef	$x.19
0x135f5	$d.109
0x135fc	$x.9
0x13601	$x.98
0x13607	$x.88
0x1360d	$x.78
0x13613	$x.68
0x13619	__UNIQUE_ID___addressable_cleanup_module458
0x13645	$x.58
0x1364b	$x.48
0x13651	__UNIQUE_ID_alias338
0x13666	$x.38
0x1366c	$d.128
0x13673	$d.28
0x13679	$x.118
0x13680	$d.18
0x13686	$x.108
0x1368d	$d.8
0x13692	$d.97
0x13698	$d.87
0x1369e	$d.77
0x136a4	$d.67
0x136aa	__UNIQUE_ID___addressable_init_module457
0x136d3	$d.57
0x136d9	$d.47
0x136df	__UNIQUE_ID_alias337
0x136f4	$d.37
0x136fa	$d.127
0x13701	$x.27
0x13707	$d.117
0x1370e	$x.17
0x13714	$d.107
0x1371b	$x.7
0x13720	$x.96
0x13726	$x.86
0x1372c	$x.76
0x13732	$x.66
0x13738	$x.56
0x1373e	$x.46
0x13744	__UNIQUE_ID_alias336
0x13759	$d.136
0x13760	$x.36
0x13766	$d.26
0x1376c	$x.116
0x13773	$d.16
0x13779	$x.106
0x13780	$d.6
0x13785	hyn_gesture_data.6
0x13798	$d.95
0x1379e	$d.85
0x137a4	$d.75
0x137aa	$d.65
0x137b0	$d.55
0x137b6	$d.45
0x137bc	__UNIQUE_ID_depends335
0x137d3	$d.135
0x137da	$d.35
0x137e0	$d.125
0x137e7	$x.25
0x137ed	$d.115
0x137f4	$x.15
0x137fa	$d.105
0x13801	$x.5
0x13806	$d.5
0x1380b	hyn_gesture_data.5
0x1381e	$x.94
0x13824	$x.84
0x1382a	$x.74
0x13830	$x.64
0x13836	$x.54
0x1383c	$x.44
