sha256,filename,module_name,locations,paths,placement_count,size_bytes,vermagic,srcversion,depends_modinfo,modules_dep_dependencies,aliases,softdeps,license,description,import_modversion_count,export_count,normal_load_locations,recovery_load_locations,classification,classification_evidence
d9996b3feaa090ee2dff49f7f9a8f1d6edc1b4732ca93a2a8636a753f95dfb59,rt4831a_drv.ko,rt4831a_drv,vendor_boot_platform,vendor_boot_platform:rt4831a_drv.ko,1,33464,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,leds-mtk,leds-mtk.ko;mtk_bp_thl.ko,,,GPL,MTK RT4831 I2C Driver,16,6,vendor_boot_platform,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/gate_ic TARGET_FILES (exports=_gate_ic_Power_off,_gate_ic_Power_on,_gate_ic_backlight_set,_gate_ic_i2c_panel_bias_enable,_gate_ic_i2c_read_bytes,_gate_ic_i2c_write_bytes)"
d9d25d84fa99dd16223d6aa24d2016b5210ee9d8fa930ec394125366c925b1a4,cpudvfs.ko,cpudvfs,vendor_dlkm,vendor_dlkm:cpudvfs.ko,1,22920,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,cpufreq_sugov_ext,cpufreq_sugov_ext.ko;gpueb.ko;mtk-mbox.ko;mtk_dynamic_loading_throttling.ko;mtk_gpu_hal.ko;mtk_gpufreq_wrapper.ko;mtk_low_battery_throttling.ko;mtk_mdpm.ko;mtk_pbm.ko;mtk_rpmsg_mbox.ko;mtk_tinysys_ipi.ko;thermal_interface.ko,,,GPL v2,MTK CPU DVFS Platform Driver Helper v0.1.1,31,2,vendor_dlkm,,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/cpufreq_lite TARGET_FILES (exports=cpufreq_set_cci_mode,set_dsu_ctrl_debug)"
dab36e3d2593546d72b4fa7257b4a303c65c0ad4c507bbd1fbb50e1578111d48,custom-ldo-wl2868.ko,custom_ldo_wl2868,vendor_dlkm,vendor_dlkm:custom-ldo-wl2868.ko,1,35544,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,,,,,GPL v2,WL2864 & WL2868 Power IC Driver,27,2,vendor_dlkm,,ULEFONE_ONLY,WL2864/WL2868 custom LDO integration has no usable Nothing/public kernel source hit in the current audit
daefc888c27639800e1a8435d9d63a25b5f71a60d3ad73f403348a5b8ad5f6cc,mtk_imgsys_cmdq.ko,mtk_imgsys_cmdq,vendor_dlkm,vendor_dlkm:mtk_imgsys_cmdq.ko,1,562768,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,"mtk-mmdvfs-v3,mtk-cmdq-drv-ext,mtk-smi-dbg,mtk-icc-core,cmdq-sec-drv,aee_aed,vcp_status",cmdq-sec-drv.ko;gz_ipc_mod.ko;gz_trusty_mod.ko;gz_tz_system.ko,"of:N*T*Cmediatek,imgsys-cmdq-71;of:N*T*Cmediatek,imgsys-cmdq-71C*;of:N*T*Cmediatek,imgsys-cmdq-7s;of:N*T*Cmediatek,imgsys-cmdq-7sC*;of:N*T*Cmediatek,imgsys-cmdq-7sp;of:N*T*Cmediatek,imgsys-cmdq-7spC*",,GPL v2,Mediatek imgsys cmdq driver,130,14,vendor_dlkm,,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/media/platform/mtk-isp/imgsys DIRECTORY_FALLBACK (compatible=mediatek,imgsys-cmdq-71,mediatek,imgsys-cmdq-7s,mediatek,imgsys-cmdq-7sp; exports=imgsys_cmdq_clearevent,imgsys_cmdq_init,imgsys_cmdq_release,imgsys_cmdq_sendtask,imgsys_cmdq_streamoff,imgsys_cmdq_streamon)"
db5951e264dbb289c66d1acd52a486609c03fc066b7dd9c721e64dc28dae5d19,l2tp_ppp.ko,l2tp_ppp,system_dlkm,system_dlkm:l2tp_ppp.ko,1,111369,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,5D1BBDC7DB1D54FF8CEBE1E,"pppox,l2tp_core,ppp_generic",l2tp_core.ko;ppp_generic.ko;pppox.ko;slhc.ko,net-pf-24-proto-1;net-l2tp-type-7,,GPL,PPP over L2TP over UDP,82,0,system_dlkm,,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:net/l2tp
dbb3bbef82c51be7170bb04fc10884f4e527920dcfdf5deab38b6f2c79188b68,mtk_aie_debug_7sp_2.ko,mtk_aie_debug_7sp_2,vendor_dlkm,vendor_dlkm:mtk_aie_debug_7sp_2.ko,1,15968,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,"iommu_debug,mtk_aie",cmdq-sec-drv.ko;gz_ipc_mod.ko;gz_trusty_mod.ko;gz_tz_system.ko;mtk_aie.ko,,,GPL v2,,7,1,vendor_dlkm,,LIKELY_PLATFORM_MATCH,exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): kernel_modules:mtkcam/mtk-aie TARGET_FILES (exports=mtk_aie_register_tf_cb_7sp_2)
dc8b9746ad3a742318617c118f1ccc32bb19cb23096f9602101d08aa2df76ebc,ccci_ccif.ko,ccci_ccif,vendor_dlkm,vendor_dlkm:ccci_ccif.ko,1,114632,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,"ccci_util_lib,ccci_md_all,irq-dbg",ccci_auxadc.ko;ccci_md_all.ko;ccci_util_lib.ko;ccmni.ko;mtk_dynamic_loading_throttling.ko;mtk_low_battery_throttling.ko;mtk_mdpm.ko;mtk_pbm.ko;rps_perf.ko,,,GPL,ccci hif ccif driver,64,0,vendor_dlkm,,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; device_modules:drivers/misc/mediatek/eccci/hif
de1454186c08033d2ca56b6e28ee3528c65aaa362bc3ce56717f848bcccf0db3,cqhci.ko,cqhci,vendor_boot_platform,vendor_boot_platform:cqhci.ko,1,45088,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,blocktag,blocktag.ko;mrdump.ko,,,GPL v2,Command Queue Host Controller Interface driver,40,5,vendor_boot_platform,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/mmc/host TARGET_FILES (exports=cqhci_deactivate,cqhci_init,cqhci_irq,cqhci_pltfm_init,cqhci_resume) | kernel:drivers/mmc/host TARGET_FILES (exports=cqhci_deactivate,cqhci_init,cqhci_irq,cqhci_pltfm_init,cqhci_resume)"
e0c8627006d10d4d5352544ac8d7cd7e15037f54ba410d9d2eb87d80757298d7,mtk_slbc.ko,mtk_slbc,vendor_boot_platform,vendor_boot_platform:mtk_slbc.ko,1,32016,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,,,,,GPL,SLBC Driver common v0.1,1,34,vendor_boot_platform,,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/slbc DIRECTORY_FALLBACK (exports=popcount,slbc_activate_status,slbc_all_cache_mode,slbc_ceil,slbc_enable,slbc_force_cache)"
e155bc4b6e55e233cfeef6f11462011c9c31df6c0e17cc31f40a4985f2fb239d,bsd_comp.ko,bsd_comp,system_dlkm,system_dlkm:bsd_comp.ko,1,21465,6.1.115-android14-11-g6b18f0b574ab-ab12901745 SMP preempt mod_unload modversions aarch64,,ppp_generic,ppp_generic.ko;slhc.ko,ppp-compress-21,,Dual BSD/GPL,,9,0,system_dlkm,,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:drivers/net/ppp
e21d8e0074f8440dcbb58b9558c3724ed0d45f3f6471c92f51aa86f8c01a04b9,imgsensor-glue.ko,imgsensor_glue,vendor_dlkm,vendor_dlkm:imgsensor-glue.ko,1,13888,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,,,,,GPL v2,,8,2,vendor_dlkm,,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): kernel_modules:mtkcam/imgsensor/src-v4l2/imgsensor-glue TARGET_FILES (exports=add_external_subdrv_entry,query_external_subdrv_entry)"
e277fe9660d648cc36b29fc7b41ccf1c01e7c7419dc1271a39dd49037b7cdfb0,frs.ko,frs,vendor_dlkm,vendor_dlkm:frs.ko,1,19976,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,mtk_fpsgo,cpudvfs.ko;cpufreq_sugov_ext.ko;cpuqos_v3.ko;ged.ko;gpueb.ko;mtk-mbox.ko;mtk_cm_ipi.ko;mtk_cm_mgr.ko;mtk_dynamic_loading_throttling.ko;mtk_fpsgo.ko;mtk_gpu_hal.ko;mtk_gpu_qos.ko;mtk_gpufreq_wrapper.ko;mtk_ioctl_powerhal.ko;mtk_low_battery_throttling.ko;mtk_mdpm.ko;mtk_pbm.ko;mtk_perf_ioctl.ko;mtk_perf_ioctl_magt.ko;mtk_qos.ko;mtk_rpmsg_mbox.ko;mtk_tinysys_ipi.ko;powerhal_cpu_ctrl.ko;scheduler.ko;sspm_v3.ko;thermal_interface.ko,,,GPL,MediaTek Frame Rate Smoother,22,0,vendor_dlkm,,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; device_modules:drivers/misc/mediatek/performance/frs
e371ac6b3ff9b8ed3a8d25fdef4650b1a37fd607e955b946377e4a817a3e4fc6,powerhal_cpu_ctrl.ko,powerhal_cpu_ctrl,vendor_dlkm,vendor_dlkm:powerhal_cpu_ctrl.ko,1,72280,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,"cpudvfs,mtk_ioctl_powerhal",cpudvfs.ko;cpufreq_sugov_ext.ko;gpueb.ko;mtk-mbox.ko;mtk_dynamic_loading_throttling.ko;mtk_gpu_hal.ko;mtk_gpufreq_wrapper.ko;mtk_ioctl_powerhal.ko;mtk_low_battery_throttling.ko;mtk_mdpm.ko;mtk_pbm.ko;mtk_rpmsg_mbox.ko;mtk_tinysys_ipi.ko;thermal_interface.ko,,,GPL,MediaTek POWERHAL_CPU_CTRL,74,4,vendor_dlkm,,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/performance/powerhal_cpu_ctrl TARGET_FILES (exports=adpf_register_callback,adpf_unregister_callback,register_get_fpsgo_is_boosting_fp,unregister_get_fpsgo_is_boosting_fp)"
e4506346dc3c21048936c3123cc0c85b80882242d1f5a19f280db808e2650d95,aee_hangdet.ko,aee_hangdet,vendor_boot_platform,vendor_boot_platform:aee_hangdet.ko,1,84880,6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64,,mrdump,mrdump.ko,,,GPL,The cpu hang detector,86,1,vendor_boot_platform,vendor_boot_platform,LIKELY_PLATFORM_MATCH,exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/aee/hangdet DIRECTORY_FALLBACK (exports=kwdt_regist_irq_info)
