stock_symbol	recon_symbol	stock_section	recon_section	stock_offset	recon_offset	stock_size	recon_size	size_identical	stock_sha256	recon_sha256	byte_identical	semantic_key
yft_finger_power_on	yft_finger_power_on	.bss	.bss	0x70	0x70	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_power_on
yft_finger_power_off	yft_finger_power_off	.bss	.bss	0x78	0x78	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_power_off
yft_finger_plat	yft_finger_plat	.bss	.bss	0x80	0x80	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_plat
__UNIQUE_ID___addressable_init_module405	__UNIQUE_ID___addressable_init_module384	.init.data	.init.data	0x0	0x0	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	__UNIQUE_ID___addressable_init_module#
__UNIQUE_ID___addressable_cleanup_module406	__UNIQUE_ID___addressable_cleanup_module385	.exit.data	.exit.data	0x0	0x0	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	__UNIQUE_ID___addressable_cleanup_module#
__UNIQUE_ID_author407	__UNIQUE_ID_author386	.modinfo	.modinfo	0x0	0x0	16	16	true	de0d9c0c26c911d515dc658741ac7511dd8d92e2ca856f61819031f00cc2cfe5	de0d9c0c26c911d515dc658741ac7511dd8d92e2ca856f61819031f00cc2cfe5	true	__UNIQUE_ID_author#
__UNIQUE_ID_description408	__UNIQUE_ID_description387	.modinfo	.modinfo	0x10	0x10	39	39	true	5e61513034f8025a231833fe28548140cec58a58c61d3587ab4a14d156a068f4	5e61513034f8025a231833fe28548140cec58a58c61d3587ab4a14d156a068f4	true	__UNIQUE_ID_description#
__UNIQUE_ID_license409	__UNIQUE_ID_license388	.modinfo	.modinfo	0x37	0x37	12	12	true	32269415cc45b60babb88674e0bb6093c44f8c5718586546ac35d7ca24fa2159	32269415cc45b60babb88674e0bb6093c44f8c5718586546ac35d7ca24fa2159	true	__UNIQUE_ID_license#
__UNIQUE_ID_vermagic333	__UNIQUE_ID_vermagic333	.modinfo	.modinfo	0x43	0x43	87	85	false	574a8c3d80b08e2a7f9620b27149961828001ed75f7689edef6f9e00b0ef67c9	3e384d854435ff9548f4b6b549062076cfe14d8aefeb01c32923e627e254beb0	false	__UNIQUE_ID_vermagic333
__UNIQUE_ID_name334	__UNIQUE_ID_name334	.modinfo	.modinfo	0x9a	0x98	17	17	true	b67210b17204621e5ad9f09d676d198aa469b55af9295ac0c5f724c5cf51754a	b67210b17204621e5ad9f09d676d198aa469b55af9295ac0c5f724c5cf51754a	true	__UNIQUE_ID_name334
__UNIQUE_ID_depends335	__UNIQUE_ID_depends335	.modinfo	.modinfo	0xab	0xa9	9	9	true	f47e0e499add5c79a4639aefa7cf4bc7035752e3d7b02147c57ecfb7ab8212d3	f47e0e499add5c79a4639aefa7cf4bc7035752e3d7b02147c57ecfb7ab8212d3	true	__UNIQUE_ID_depends335
__UNIQUE_ID_alias336	__UNIQUE_ID_alias336	.modinfo	.modinfo	0xb4	0xb2	34	34	true	1845ec1a998c3c21a1b6da95869881621c370bed489c88fc05ebf4287166d5bb	1845ec1a998c3c21a1b6da95869881621c370bed489c88fc05ebf4287166d5bb	true	__UNIQUE_ID_alias336
__UNIQUE_ID_alias337	__UNIQUE_ID_alias337	.modinfo	.modinfo	0xd6	0xd4	36	36	true	e1e240ad7f12763f87454a8333c3aba3bf3ce3b35fff3e55644e6978292a040f	e1e240ad7f12763f87454a8333c3aba3bf3ce3b35fff3e55644e6978292a040f	true	__UNIQUE_ID_alias337
_note_9	_note_9	.note.Linux	.note.Linux	0x0	0x0	24	24	true	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3	true	_note_9
_note_10	_note_10	.note.Linux	.note.Linux	0x18	0x18	24	24	true	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c	true	_note_10
__this_module	__this_module	.gnu.linkonce.this_module	.gnu.linkonce.this_module	0x0	0x0	1088	1088	true	5d28c9cd09ac2c45baaaab6aedf3d8718356ab04f4790bdc6402e2fc153bfa17	5d28c9cd09ac2c45baaaab6aedf3d8718356ab04f4790bdc6402e2fc153bfa17	true	__this_module
____versions	____versions	__versions	__versions	0x0	0x0	1152	1152	true	407f37fcce48da666a6e61866234e45f957d2fdd97fbcc20be7c87062129d77c	407f37fcce48da666a6e61866234e45f957d2fdd97fbcc20be7c87062129d77c	true	____versions
