sha256,filename,module_name,locations,classification,classification_evidence
686700a9209f9ab9a18d8e1e2fda84f65b11548c8b1a48ff59f2073d75f13230,cdc_ether.ko,cdc_ether,system_dlkm,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): kernel:drivers/net/usb TARGET_FILES (exports=usbnet_cdc_bind,usbnet_cdc_status,usbnet_cdc_unbind,usbnet_cdc_update_filter,usbnet_cdc_zte_rx_fixup,usbnet_ether_cdc_bind)"
695b30c8f796d1e238f2821b8b7630ac82f1ca294f9dd525a34c1249e6850d69,nvmem_mtk-devinfo.ko,nvmem_mtk_devinfo,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/nvmem DIRECTORY_FALLBACK (compatible=mediatek,devinfo)"
69f2dd5e88afc0f1dc1aeda925274572eb069f43230ff49f46fe468d19ccf9b8,emi-mpu.ko,emi_mpu,vendor_boot_platform,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/memory/mediatek target-scoped (compatible=mediatek,common-emimpu; exports=global_emi_mpu,mtk_clear_md_violation,mtk_clear_smpu_log,mtk_emimpu_md_handling_register)"
6a72d98b0d514b922ed2a1a141468ce77230395c7e5fcda915a95a652ea72fe1,clk-common.ko,clk_common,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/clk/mediatek TARGET_FILES (exports=clk_chk_dev_pm_ops,clk_chk_lookup,clk_dbg_driver_register,clkchk_devapc_dump,clkchk_hwv_irq_init,clkchk_pvdck_is_enabled)"
6a8607ee93fabd244bfe269c5c9c3c94915a6db9b5e9e4f8d7419860b46adae6,mtk-icc-core.ko,mtk_icc_core,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/mtk-interconnect DIRECTORY_FALLBACK (exports=mtk_icc_get,mtk_icc_link_create,mtk_icc_link_destroy,mtk_icc_node_add,mtk_icc_node_create,mtk_icc_node_del)"
6b87f7104e8d3586dac910f9ef5d35283c125532146b4b9b810bb9e827567a7a,clk-dbg-mt6878.ko,clk_dbg_mt6878,vendor_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; device_modules:drivers/clk/mediatek
6c4e88627123a57684ac5a5fe4648bb2b105140d05f23f2e469db4d1c2060362,charger_cooling.ko,charger_cooling,vendor_dlkm,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/thermal/mediatek target-scoped (compatible=mediatek,mt6360-charger-cooler,mediatek,mt6375-charger-cooler)"
6c8179394907c6487a63171136e3a057ad61a3090ec67195d22cd8a400f7a86f,dbgtop-drm.ko,dbgtop_drm,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/sda TARGET_FILES (exports=mtk_dbgtop_dfd_timeout,mtk_dbgtop_mfg_pwr_en,mtk_dbgtop_mfg_pwr_on)"
6d7733c1cb95fb46235f7b12527b992a2833c891124f74d73765b7fbb3e93b02,scheduler.ko,scheduler,vendor_dlkm,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/sched TARGET_FILES (exports=get_background_cpumask,get_foreground_cpumask,get_gear_indices,get_group_prefer_cpus,get_share_buck,get_top_app_cpumask)"
6db0fdd4ae91ada777d36eccbb1b52ec2602a3474a645774546f3565bdcd84ea,mediatek-drm-gateic.ko,mediatek_drm_gateic,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/gpu/drm/panel DIRECTORY_FALLBACK (compatible=mediatek,mtk-drm-gateic-drv-rt4801h,mediatek,mtk-drm-gateic-drv-rt4831a; exports=mtk_drm_gateic_enable_backlight,mtk_drm_gateic_get,mtk_drm_gateic_power_off,mtk_drm_gateic_power_on,mtk_drm_gateic_register,mtk_drm_gateic_reset)"
6db23fd3648d22273ced735258773ba91c63e737972e4b83ec71a17608b5a6a3,aee_aed.ko,aee_aed,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/aee/aed DIRECTORY_FALLBACK (exports=aed_combo_exception_api,aed_common_exception_api,aed_get_status,aed_md32_exception_api,aed_md_exception_api,aed_scp_exception_api)"
6dc7458c47be8fecf6753bd5575ec1a90d4f5388d44165554588788e23751306,main3_vcm.ko,main3_vcm,vendor_dlkm,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/misc/mediatek/lens/vcm/v4l2/main3_vcm target-scoped (compatible=mediatek,main3_vcm)"
7046aacd2312db0030f6edc5b25aafe5f81af4243533d057959aedd4cd2be7ab,nhc_fragment.ko,nhc_fragment,system_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:net/6lowpan
70791ad902e31633227f8869b59e338f1a744895231e2434edd2c3b18a2c2318,can-gw.ko,can_gw,system_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:net/can
707e26674abbe7f9c695bb949d74fd5de04972d4bbb991cddc3a2ea9ab45f01b,tmem_ffa.ko,tmem_ffa,vendor_dlkm,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/trusted_mem DIRECTORY_FALLBACK (exports=trusted_mem_api_alloc,trusted_mem_api_alloc_zero,trusted_mem_api_get_page_replace,trusted_mem_api_get_region_info,trusted_mem_api_query_pa,trusted_mem_api_unref)"
70ba37e851d8aae29b5b6b9786ec5cd77ce79c2a996857409424091a504b8c7f,mediatek-cpufreq-hw.ko,mediatek_cpufreq_hw,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/cpufreq DIRECTORY_FALLBACK (exports=cpufreq_fdvfs_cci_switch,is_fdvfs_support,stop_dvfs_log)"
70bf1a211faf36e1ccf7def2e40b80773d913790dd2d5f126a4e495a467ea629,clkbuf.ko,clkbuf,vendor_boot_platform,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; device_modules:drivers/misc/mediatek/clkbuf
71961fac53644c42a7bd50750b4054464c8bb5f752ab2f5df5992e6b37d6b9d8,mtk-dvfsrc-devfreq.ko,mtk_dvfsrc_devfreq,vendor_boot_platform,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; device_modules:drivers/devfreq
71f619915a7a95a505c0962a7baf4247133d73155f3a64ce52960494c336569f,irq-dbg.ko,irq_dbg,vendor_boot_platform,LIKELY_PLATFORM_MATCH,exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/sda TARGET_FILES (exports=mt_irq_dump_status)
72446c1929e0a397946c2fd784cb905767acc241cf35567607a03b9f5c4fbd60,mtk-emi.ko,mtk_emi,vendor_boot_platform,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/interconnect/mediatek target-scoped (compatible=mediatek,mt6833-dvfsrc,mediatek,mt6853-dvfsrc,mediatek,mt6855-dvfsrc,mediatek,mt6873-dvfsrc)"
7300dce02e58e68ccf5134ba32a8fde0f3a650cc0e2e528be0c57f75e090edb0,mac802154.ko,mac802154,system_dlkm,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): kernel:net/mac802154 DIRECTORY_FALLBACK (exports=ieee802154_alloc_hw,ieee802154_configure_durations,ieee802154_free_hw,ieee802154_register_hw,ieee802154_rx_irqsafe,ieee802154_stop_queue)"
7363bd0fb4421573b256ffdf06fb15f47fa39913c66f91e0a3eeb2118b7491f9,mtk_cg_peak_power_throttling.ko,mtk_cg_peak_power_throttling,vendor_dlkm,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/misc/mediatek/cg_ppt target-scoped (compatible=mediatek,cgppt; exports=cgppt_set_mo_multiscene)"
739dee896c60143b9c8e4092761ad8d217bcb0af24a848e31c60a9540a3e16d9,mtk-ssc.ko,mtk_ssc,vendor_dlkm,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/ssc DIRECTORY_FALLBACK (exports=ssc_disable_vlogic_bound,ssc_enable,ssc_enable_vlogic_bound,ssc_kobj,ssc_vlogic_bound_register_notifier,ssc_vlogic_bound_unregister_notifier)"
7491b08703d2af7eeec5fd43bea721222617c87679b0fc9cbf86eb16ce75766a,cpuqos_v3.ko,cpuqos_v3,vendor_dlkm,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/cache-auditor/cpuqos_v3 TARGET_FILES (exports=mtk_cpuqos_css_map,mtk_cpuqos_set,set_cpuqos_mode,set_ct_group,set_ct_task,set_group_pd)"
7495713a8cc2b94d62b63bcab5d8a33ee6b93976d8372e4b660a862793c6c9c2,usb_meta.ko,usb_meta,vendor_boot_platform,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/misc/mediatek/usb/usb_meta target-scoped (compatible=mediatek,usb-meta)"
7496ce42c408268b91dacf7a1114edda761902d6f620633f48753bddfc53aced,mac80211.ko,mac80211,vendor_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): kernel:net/mac80211 TARGET_FILES (exports=ieee80211_report_wowlan_wakeup)
74aeea4077df4a052a8c90657ea4a1b4e5241f4876543a808f306a6adc2ffa4b,hf_manager.ko,hf_manager,vendor_dlkm,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/sensor/2.0/core TARGET_FILES (exports=coordinate_map,hf_client_control_sensor,hf_client_create,hf_client_custom_cmd,hf_client_destroy,hf_client_find_sensor)"
75405b2f0b7b61981f060ad7852b57e58a95b494bb251e8e49e0ac7c4de601f1,msync2_frd.ko,msync2_frd,vendor_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel_modules:.
7542d26898970e6d770922f109d1093c549ec9aa6c391ff5c868cd6b00e45f3e,industrialio-triggered-buffer.ko,industrialio_triggered_buffer,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): kernel:drivers/iio/buffer TARGET_FILES (exports=devm_iio_triggered_buffer_setup_ext,iio_triggered_buffer_cleanup,iio_triggered_buffer_setup_ext)"
7556b3a6ae04812f6c71cc5578e1c810e16b18471182e969820d44776d9954a5,mtk-scpsys.ko,mtk_scpsys,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/soc/mediatek TARGET_FILES (exports=__mminfra_hwv_power_ctrl,init_scp,mtk_register_power_domains,register_apu_callback,register_scpsys_notifier,unregister_scpsys_notifier)"
755ba5aa3027da1ab4d3c447106733c84c8b825d5fdaec6b811b8fcc01cee3c3,mtk-mmdvfs-ftrace.ko,mtk_mmdvfs_ftrace,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/mmdvfs TARGET_FILES (exports=ftrace_pwr_opp_v3,ftrace_record_opp_v1,ftrace_user_opp_v3,ftrace_user_opp_v3_vcore,ftrace_user_opp_v3_vmm)"
7602f04ae2d5912093d2f5f82163af7e95bdd5c6cfa811ef41bbf424e8743952,hidp.ko,hidp,system_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:net/bluetooth/hidp
767ad56f225051b1081800f02d5b98adc6f1c4c3bb29416742f95c2d07c8724c,usbnet.ko,usbnet,system_dlkm,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): kernel:drivers/net/usb TARGET_FILES (exports=usbnet_change_mtu,usbnet_defer_kevent,usbnet_device_suggests_idle,usbnet_disconnect,usbnet_get_drvinfo,usbnet_get_endpoints)"
