symbol	section	offset_hex	size	binding	kcfi_id	stock_crc	namespace	consumer
custom_ldo_vout	.text	0x4	28	GLOBAL	0x56e5b5a5	0xfda530e0		imgsensor
custom_ldo_en	.text	0x24	28	GLOBAL	0x56e5b5a5	0x239d3df2		imgsensor
