symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list,selected_consumers,nothing_name_status,crc_status
__cpu_possible_mask,0xde7ece30,KERNEL_OR_BUILTIN,,0,8021q;aee_hangdet;blocktag;ccci_dpmaif;cpufreq_sugov_ext;gz_ipc_mod;gz_irq_mod;gz_trusty_mod;gz_virtio_mod;load_track;lpm_gov_MHSP;mac80211;mediatek_cpufreq_hw;met;monitor_hang;mrdump;mtk_cg_peak_power_throttling;mtk_cm_mgr;mtk_core_ctl;mtk_cpu_power_throttling;mtk_fpsgo;mtk_lpm_dbg_common_v2;mtk_lpm_plat_v1;mtk_mbraink;mtk_pbm;mtk_perf_common;mtk_perf_ioctl_magt;mtk_swpm_dbg_common_v1;mtk_swpm_perf_arm_pmu;powerhal_cpu_ctrl;ppp_generic;scheduler;task_turbo;thermal_interface;thermal_trace;timer_mediatek;tipc;tkcore;tkcore_drv;touch_boost;uload_ind;usb_boost;usbnet;wlan_drv_gen4m_6878;zram,45,45,0,1,0,0,1,1,1,1,tkcore;tkcore_drv,PUBLISHED_KMI_NAME,UNPROVEN
__cpuhp_remove_state,0x82d7e59a,KERNEL_OR_BUILTIN,,0,arm_dsu_pmu;gz_irq_mod;met;mtk_core_ctl;tkcore_drv;zram;zsmalloc,7,7,0,1,0,0,1,1,1,1,tkcore_drv,PUBLISHED_KMI_NAME,UNPROVEN
__cpuhp_setup_state,0x4d01ac5c,KERNEL_OR_BUILTIN,,0,aee_hangdet;arm_dsu_pmu;gz_irq_mod;lpm_gov_MHSP;met;mtk_core_ctl;mtk_lpm_plat_v1;tkcore_drv;zram;zsmalloc,10,10,0,1,0,0,1,1,1,1,tkcore_drv,PUBLISHED_KMI_NAME,UNPROVEN
__devm_regmap_init_i2c,0x1bab1211,KERNEL_OR_BUILTIN,,0,aw36515;aw36518;aw36518_v2;leds_rgb_aw2013;mt6338_core;rt6160_regulator;sc851x_charger;sc8571_charger;snd_soc_tfa98xx,9,9,0,1,0,0,1,1,1,1,sc851x_charger;sc8571_charger,PUBLISHED_KMI_NAME,UNPROVEN
__flush_workqueue,0x9166fc03,KERNEL_OR_BUILTIN,,0,apusys;bluetooth;bt_drv_6878;c2k_usb;dw9781c;ged;gzvm;hynitron;l2tp_core;load_track;mac80211;mac802154;mali_kbase_mt6878_r44;mtk_hcp;mtk_imgsys_v4l2;mtk_lpm_dbg_common_v2;mtk_mbraink;mtk_swpm;mtk_vcodec_common;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;mtu3;scp;sensorhub;vcp,25,26,0,1,0,0,0,0,1,1,hynitron,PUBLISHED_KMI_NAME,UNPROVEN
__get_free_pages,0x6a5cb5ee,KERNEL_OR_BUILTIN,,0,aee_aed;apusys;c2k_usb;cpudvfs;gz_main_mod;mali_kbase_mt6878_r44;met;powerhal_cpu_ctrl;tkcore_drv;touch_boost;zram,11,11,0,1,0,0,1,1,1,1,tkcore_drv,PUBLISHED_KMI_NAME,UNPROVEN
__init_swait_queue_head,0x608741b5,KERNEL_OR_BUILTIN,,0,adsp;aee_aed;apu_top;apusys;bluetooth;bt_drv_6878;camera_dpe_isp7sp;cmdq_test;conninfra;connscp;cqhci;fmradio_drv_connac2x;gps_drv_dl_v051;gz_ipc_mod;gz_trusty_mod;gz_tz_system;gz_virtio_mod;hci_uart;i2c_mt65xx;mali_kbase_mt6878_r44;mddp;mediatek_drm;met;mt6375_charger;mtk_aie;mtk_cam_isp7sp;mtk_cmdq_drv_ext;mtk_imgsys_v4l2;mtk_mml;mtk_tinysys_ipi;rtc_mt6685;sapu;sensorhub;spi_mt65xx;tkcore;tkcore_drv;ufs_mediatek_mod;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;xhci_mtk_hcd_v2,40,41,0,1,0,0,1,1,1,1,tkcore;tkcore_drv,PUBLISHED_KMI_NAME,UNPROVEN
__init_waitqueue_head,0xd9a5ea54,KERNEL_OR_BUILTIN,,0,adsp;aee_aed;apusys;atf_logger;audio_ipi;blocktag;bluetooth;bt_drv_6878;camera_dpe_isp7sp;ccci_dpmaif;ccci_fsm_scp;ccci_md_all;ccci_util_lib;ccd_rpmsg;cdc_acm;cfg80211;conninfra;connscp;cqhci;drm_display_helper;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;gps_drv_dl_v051;gps_pwr;gps_scp;gz_ipc_mod;gz_log_mod;hci_uart;hf_manager;hidp;ieee802154;mali_kbase_mt6878_r44;mcupm;mddp;mdp_drv_mt6878;mediatek_drm;mmqos_common;monitor_hang;mt6375_battery;mtk_aie;mtk_btcvsd;mtk_cam_isp7sp;mtk_ccuv;mtk_charger_framework;mtk_chg_type_det;mtk_cmdq_drv_ext;mtk_dpc;mtk_hcp;mtk_imgsys_v4l2;mtk_low_battery_throttling;mtk_mml;mtk_pep50;mtk_soc_offload_common;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;mtk_vcu;pda_drv_mt6878;ppp_generic;rfkill;scp;slcan;snd_soc_tfa98xx;sspm_v3;st21nfc;system_heap;tcpc_class;tkcore;tkcore_drv;touch_boost;usb_offload;usbnet;vcp;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;wwan,75,76,0,1,0,0,1,1,1,1,tkcore;tkcore_drv,PUBLISHED_KMI_NAME,UNPROVEN
__kmalloc,0xeb233a45,KERNEL_OR_BUILTIN,,0,aee_aed;apu_top;apusys;asix;aw883xx_driver;ax88179_178a;blocktag;bluetooth;bootprof;bt_drv_6878;camera_eeprom_v4l2;can_bcm;ccci_dpmaif;ccci_md_all;ccci_util_lib;cdc_acm;cdc_ncm;cfg80211;clk_common;clkbuf;cmdq_sec_drv;connadp;connfem;conninfra;cpufreq_sugov_ext;device_apc_common;drm_display_helper;extdev_io_class;ffa_v10;fhctl;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;ged;gz_ipc_mod;gz_main_mod;gz_tz_system;gz_virtio_mod;hf_manager;hynitron;i2c_mt65xx;ieee802154;imgsensor;l2tp_core;load_track;log_store;mac80211;mac802154;mali_kbase_mt6878_r44;mcupm;md_cooling_all;mddp;mdp_drv_mt6878;mediatek_drm;mediatek_drm_gateic;mediatek_drm_panel_drv;met;mrdump;mt6375_battery;mtk_c2ps;mtk_cam_isp7sp;mtk_cmdq_drv_ext;mtk_core_ctl;mtk_cpu_power_throttling;mtk_fpsgo;mtk_hcp;mtk_heap_debug;mtk_icc_core;mtk_ioctl_powerhal;mtk_lpm;mtk_lpm_dbg_common_v2;mtk_lpm_dbg_mt6878;mtk_mbraink;mtk_md_power_throttling;mtk_mmdvfs_debug;mtk_mmdvfs_v3;mtk_mml;mtk_perf_common;mtk_perf_ioctl;mtk_perf_ioctl_magt;mtk_sec_heap;mtk_swpm_dbg_v6878;mtk_tinysys_ipi;mtk_u_ether;mtk_usb_f_rndis;mtk_vcodec_common;mtu3;nfc;pd_dbg_info;pmic_lbat_service;powerhal_cpu_ctrl;ppp_mppe;r8152;rfcomm;rfkill;rpmb_mtk;rps_perf;rt5133_regulator;scheduler;scp;sensorhub;slhc;snd_soc_tfa98xx;spi_mt65xx;sspm_v3;system_heap;thermal_interface;tipc;tkcore_drv;touch_boost;ufs_mediatek_mod;usb_offload;usbnet;usbserial;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2;yft_devinfo,116,117,0,1,1,0,1,1,1,1,hynitron;tkcore_drv;yft_devinfo,PUBLISHED_KMI_NAME,UNPROVEN
__list_add_valid,0x68f31cbd,KERNEL_OR_BUILTIN,,0,8021q;aee_aed;apu_top;apusys;aw883xx_driver;blocktag;bluetooth;bootprof;c2k_usb;can_bcm;can_raw;ccci_md_all;ccci_util_lib;ccd_rpmsg;cfg80211;cmdq_sec_drv;connscp;device_apc_common;drm_display_helper;flashlight;focaltech_touch_spi_ft3680;ged;gz_ipc_mod;gz_trusty_mod;gz_virtio_mod;gzvm;hci_uart;hf_manager;hidp;ieee802154;imgsensor_glue;iommu_debug;mac80211;mac802154;mali_kbase_mt6878_r44;mali_mgm_mt6878_r44;md_cooling_all;mddp;mdp_drv_mt6878;mediatek_drm;mediatek_drm_gateic;mediatek_drm_panel_drv;met;microarray_fp_tee;mmprofile;mmqos_common;monitor_hang;mt6375_battery;mtk_c2ps;mtk_cam_isp7sp;mtk_cmdq_drv_ext;mtk_cpu_power_throttling;mtk_fpsgo;mtk_gpu_hal;mtk_hcp;mtk_heap_debug;mtk_icc_core;mtk_imgsys_v4l2;mtk_iommu;mtk_lpm;mtk_lpm_dbg_common_v2;mtk_mml;mtk_panel_ext;mtk_pbm;mtk_sec_heap;mtk_swpm;mtk_sync;mtk_u_ether;mtk_uart_apdma;mtk_usb_f_rndis;mtk_vcodec_common;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;mtk_vcu;mtu3;mux_switch;nfc;pd_dbg_info;pmic_lbat_service;powerhal_cpu_ctrl;ppp_generic;r8152;reboot_mode;rfcomm;rfkill;scheduler;sensorhub;snd_soc_mt6878_afe;snd_soc_tfa98xx;spi_tiny_co5300_lcd;system_heap;task_turbo;tipc;tkcore;tkcore_drv;tmem_ffa;touch_boost;usb_boost;usb_meta;usb_offload;usbserial;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2;yft_devinfo;zsmalloc,105,106,0,1,0,0,1,1,1,1,microarray_fp_tee;spi_tiny_co5300_lcd;tkcore;tkcore_drv;yft_devinfo,PUBLISHED_KMI_NAME,UNPROVEN
