symbol	crc	export_class	kcfi_id	function_size
tiny_tp_gesture_contorl	0x4e4b7919	EXPORT_SYMBOL	0x019c0cac	104
tiny_tp_power_contorl	0xfcc94fc7	EXPORT_SYMBOL	0x019c0cac	576
