consumer_module	imported_symbol	expected_crc
partitions/vendor_dlkm/lib/modules/mtk-sp-spk-amp.ko	aw883xx_i2c_probe	0x713728fc
partitions/vendor_dlkm/lib/modules/mtk-sp-spk-amp.ko	aw883xx_i2c_remove	0xb3e48038
