symbol	class	crc	relocation_count	reference_sites
__const_udelay	KERNEL_IMPORT	0xeae3dfd6	30	.text+0x6a4 (tiny2c_usb_i2c_probe);.text+0x6b0 (tiny2c_usb_i2c_probe);.text+0x6bc (tiny2c_usb_i2c_probe);.text+0x6c8 (tiny2c_usb_i2c_probe);.text+0x6d4 (tiny2c_usb_i2c_probe);.text+0x6e0 (tiny2c_usb_i2c_probe);.text+0x6ec (tiny2c_usb_i2c_probe);.text+0x6f8 (tiny2c_usb_i2c_probe);.text+0x704 (tiny2c_usb_i2c_probe);.text+0x710 (tiny2c_usb_i2c_probe);.text+0x758 (tiny2c_usb_i2c_probe);.text+0x764 (tiny2c_usb_i2c_probe);.text+0x770 (tiny2c_usb_i2c_probe);.text+0x77c (tiny2c_usb_i2c_probe);.text+0x788 (tiny2c_usb_i2c_probe);.text+0x794 (tiny2c_usb_i2c_probe);.text+0x7a0 (tiny2c_usb_i2c_probe);.text+0x7ac (tiny2c_usb_i2c_probe);.text+0x7b8 (tiny2c_usb_i2c_probe);.text+0x7c4 (tiny2c_usb_i2c_probe);.text+0x808 (tiny2c_usb_i2c_probe);.text+0x814 (tiny2c_usb_i2c_probe);.text+0x820 (tiny2c_usb_i2c_probe);.text+0x82c (tiny2c_usb_i2c_probe);.text+0x838 (tiny2c_usb_i2c_probe);.text+0x844 (tiny2c_usb_i2c_probe);.text+0x850 (tiny2c_usb_i2c_probe);.text+0x85c (tiny2c_usb_i2c_probe);.text+0x868 (tiny2c_usb_i2c_probe);.text+0x874 (tiny2c_usb_i2c_probe)
i2c_unregister_device	KERNEL_IMPORT	0x08d4f9f1	1	.text+0x8c4 (tiny2c_usb_i2c_remove)
__platform_driver_register	KERNEL_IMPORT	0x894c433a	1	.init.text+0x20 (init_module)
platform_driver_unregister	KERNEL_IMPORT	0xe1b15563	1	.exit.text+0x18 (cleanup_module)
kmalloc_caches	KERNEL_IMPORT	0x0f15b38a	2	.text+0x904 (tiny2c_usb_probe);.text+0x910 (tiny2c_usb_probe)
kmalloc_trace	KERNEL_IMPORT	0xb78e7543	1	.text+0x914 (tiny2c_usb_probe)
of_get_named_gpio_flags	KERNEL_IMPORT	0xb9ab15e7	4	.text+0x96c (tiny2c_usb_probe);.text+0x9c0 (tiny2c_usb_probe);.text+0xa14 (tiny2c_usb_probe);.text+0xa7c (tiny2c_usb_probe)
gpio_request	KERNEL_IMPORT	0x47229b5c	4	.text+0x9a4 (tiny2c_usb_probe);.text+0x9f8 (tiny2c_usb_probe);.text+0xa4c (tiny2c_usb_probe);.text+0xabc (tiny2c_usb_probe)
i2c_register_driver	KERNEL_IMPORT	0x50f5d94e	1	.text+0xb68 (tiny2c_usb_probe)
device_create_file	KERNEL_IMPORT	0xe25f59ab	2	.text+0xc00 (tiny2c_usb_probe);.text+0xc1c (tiny2c_usb_probe)
device_remove_file	KERNEL_IMPORT	0x17678b2a	1	.text+0xcc8 (tiny2c_usb_probe)
module_layout	KERNEL_LOADER_ABI	0xea759d7f	0	__versions only
