symbol	stock_crc	elf_type	binding	relocation_count	relocation_types	provider_class
module_layout	0xea759d7f	MODVERSION	GLOBAL	0		kernel/GKI
will_ldo_en	0xdd9b9ea1	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	custom_ldo_wl2868
will_ldo_vout	0x23ec3223	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	custom_ldo_wl2868
