symbol	section	offset_hex	size	binding	kcfi_id	stock_crc	namespace	consumer
will_ldo_vout	.text	0x968	136	GLOBAL	0x56e5b5a5	0x23ec3223		custom_ldo
will_ldo_en	.text	0x9f4	72	GLOBAL	0x56e5b5a5	0xdd9b9ea1		custom_ldo
