symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list,required_stock_crc,exact_gki_crc,exact_gki_crc_status
__arch_copy_to_user,0x9a85eebb,KERNEL_OR_BUILTIN,,0,8021q;adsp;aee_aed;apusys;atf_logger;audio_ipi;aw883xx_driver;blocktag;bluetooth;bt_drv_6878;camera_dpe_isp7sp;camera_eeprom_v4l2;can_dev;can_raw;ccci_dpmaif;ccci_md_all;ccci_util_lib;connfem;conninfra;connscp;custom_ldo_wl2868;dw9781c;flashlight;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;ftdi_sio;ged;gps_drv_dl_v051;gps_pwr;gps_scp;gpueb;gz_log_mod;gz_main_mod;gzvm;hbt;hf_manager;hidp;ieee802154_socket;imgsensor;l2tp_ppp;mali_dmabuf_test_mt6878_r44;mali_kbase_mt6878_r44;mcupm;mddp;mdp_drv_mt6878;mediatek_drm;microarray_fp_tee;mmprofile;monitor_hang;mt6375_battery;mt6878_mt6369;mtk_btcvsd;mtk_ccd_remoteproc;mtk_ccuv;mtk_hcp;mtk_imgsys_v4l2;mtk_ioctl_powerhal;mtk_ioctl_touch_boost;mtk_mbraink;mtk_mml;mtk_perf_ioctl;mtk_perf_ioctl_magt;mtk_scp_audiocommon;mtk_soc_offload_common;mtk_vcu;mtk_vow;pda_drv_mt6878;ppp_generic;rfcomm;rfkill;rpmb_mtk;scheduler;scp;sec;slcan;snd_soc_audiodsp_common;snd_soc_mtk_common;snd_soc_mtk_scp_ultra;snd_soc_tfa98xx;spi_tiny_co5300_lcd;sspm_v3;st21nfc;tipc;tkcore;ufs_mediatek_mod;widevine_driver;wlan_drv_gen4m_6878;wwan;yft_tpd_gesture,89,90,0,1,1,0,1,1,1,1,0x9a85eebb,0x9a85eebb,MATCH
__arm_smccc_hvc,0x50f85302,KERNEL_OR_BUILTIN,,0,gzvm;sec_rng,2,2,0,1,0,0,1,1,1,1,0x50f85302,0x50f85302,MATCH
__arm_smccc_smc,0xf93aae46,KERNEL_OR_BUILTIN,,0,adsp;aee_aed;aee_hangdet;apu_top;apusys;atf_logger;bus_parity;ccci_ccif;ccci_dpmaif;ccci_fsm_scp;ccci_md_all;cmdq_sec_drv;conninfra;dbg_error_flag;dbgtop_drm;device_apc_common;emi;emi_mpu;fmradio_drv_connac2x;gps_drv_dl_v051;gpueb;gz_trusty_mod;iommu_secure;irq_dbg;mediatek_drm;mrdump;mtk_aie;mtk_btcvsd;mtk_cam_isp7sp;mtk_ccuv;mtk_cmdq_drv_ext;mtk_dvfsrc;mtk_dvfsrc_devfreq;mtk_dvfsrc_helper;mtk_dvfsrc_start;mtk_imgsys_isp7sp;mtk_imgsys_v4l2;mtk_iommu;mtk_lpm;mtk_lpm_dbg_common_v2;mtk_lpm_dbg_mt6878;mtk_lpm_plat_v1;mtk_mbox_mailbox;mtk_mmc;mtk_scpsys;mtk_sec_heap;mtk_ssc_dbg_v2;mtu3;scp;sec_rng;smpu;snd_soc_audiodsp_common;snd_soc_mt6878_afe;tkcore_drv;tmem_ffa;ufs_mediatek_mod;usb_offload;vcp,58,58,0,1,0,0,1,1,1,1,0xf93aae46,0xf93aae46,MATCH
__bitmap_and,0xeca957d1,KERNEL_OR_BUILTIN,,0,arm_dsu_pmu;mtk_core_ctl;scheduler;task_turbo,4,4,0,1,0,0,0,0,1,1,0xeca957d1,0xeca957d1,MATCH
__bitmap_andnot,0xf390f6f1,KERNEL_OR_BUILTIN,,0,apusys;mali_kbase_mt6878_r44;mtk_core_ctl;scheduler,4,4,0,1,0,0,1,1,1,1,0xf390f6f1,0xf390f6f1,MATCH
__bitmap_clear,0x922f45a6,KERNEL_OR_BUILTIN,,0,apusys;mtu3,2,2,0,1,1,0,1,1,1,1,0x922f45a6,0x922f45a6,MATCH
__bitmap_complement,0x7c173634,KERNEL_OR_BUILTIN,,0,ftdi_sio;mtk_core_ctl,2,2,0,1,0,0,0,0,1,1,0x7c173634,0x7c173634,MATCH
__bitmap_equal,0x06d11488,KERNEL_OR_BUILTIN,,0,cpufreq_sugov_ext;load_track;mali_kbase_mt6878_r44,3,3,0,1,0,0,1,1,1,1,0x06d11488,0x06d11488,MATCH
__bitmap_intersects,0x48d27375,KERNEL_OR_BUILTIN,,0,cpufreq_sugov_ext;scheduler;ufs_mediatek_mod,3,3,0,1,0,0,0,0,1,1,0x48d27375,0x48d27375,MATCH
__bitmap_or,0xa084749a,KERNEL_OR_BUILTIN,,0,mali_kbase_mt6878_r44;mtk_core_ctl;scheduler;wlan_drv_gen4m_6878,4,4,0,1,0,0,1,1,1,1,0xa084749a,0xa084749a,MATCH
