name	path	explicit_revision	effective_revision	remote
kernel/build	build/kernel	-	main-kernel-build-2023	aosp
kernel/common	common	android14-6.1-2024-12	android14-6.1-2024-12	aosp
kernel/configs	kernel/configs	76dd129942d2d1a1ccaa3ea0effa682e9e1828ac	76dd129942d2d1a1ccaa3ea0effa682e9e1828ac	aosp
platform/prebuilts/clang/host/linux-x86	prebuilts/clang/host/linux-x86	-	main-kernel-build-2023	aosp
platform/prebuilts/build-tools	prebuilts/build-tools	-	main-kernel-build-2023	aosp
kernel/prebuilts/build-tools	prebuilts/kernel-build-tools	-	main-kernel-build-2023	aosp
