sha256,module_name,filename,locations,crc,symbol,stock_provider_sha256,stock_provider_modules,stock_provider_locations,nothing_source_exporters,provider_state
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm,main_vcm.ko,vendor_dlkm,0x50f5d94e,i2c_register_driver,,,,,NO_STOCK_MODULE_PROVIDER
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm,main_vcm.ko,vendor_dlkm,0xfee5be94,i2c_del_driver,,,,,NO_STOCK_MODULE_PROVIDER
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm,main_vcm.ko,vendor_dlkm,0x92997ed8,_printk,,,,,NO_STOCK_MODULE_PROVIDER
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm,main_vcm.ko,vendor_dlkm,0x2592ea78,v4l2_async_unregister_subdev,,,,tuner@kernel:drivers/media/v4l2-core;v4l2-async@kernel:drivers/media/v4l2-core,NO_STOCK_MODULE_PROVIDER__NOTHING_SOURCE_EXPORT_EXISTS
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm,main_vcm.ko,vendor_dlkm,0x2cac929d,v4l2_ctrl_handler_free,,,,tuner@kernel:drivers/media/v4l2-core,NO_STOCK_MODULE_PROVIDER__NOTHING_SOURCE_EXPORT_EXISTS
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm,main_vcm.ko,vendor_dlkm,0xd50f026e,devm_kmalloc,,,,,NO_STOCK_MODULE_PROVIDER
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm,main_vcm.ko,vendor_dlkm,0x12d1b352,devm_regulator_get,,,,devres@kernel:drivers/regulator,NO_STOCK_MODULE_PROVIDER__NOTHING_SOURCE_EXPORT_EXISTS
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm,main_vcm.ko,vendor_dlkm,0x1e78d642,devm_pinctrl_get,,,,,NO_STOCK_MODULE_PROVIDER
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm,main_vcm.ko,vendor_dlkm,0xfcab557c,pinctrl_lookup_state,,,,,NO_STOCK_MODULE_PROVIDER
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm,main_vcm.ko,vendor_dlkm,0xd566efee,v4l2_i2c_subdev_init,,,,tuner@kernel:drivers/media/v4l2-core;videodev@kernel:drivers/media/v4l2-core,NO_STOCK_MODULE_PROVIDER__NOTHING_SOURCE_EXPORT_EXISTS
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm,main_vcm.ko,vendor_dlkm,0x699e1454,v4l2_ctrl_handler_init_class,,,,tuner@kernel:drivers/media/v4l2-core,NO_STOCK_MODULE_PROVIDER__NOTHING_SOURCE_EXPORT_EXISTS
