relocation_section	offset	info	type	symbol_value	symbol_expression
.rela.text	0x0000000000002080	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + b5b
.rela.text	0x0000000000002088	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
.rela.text	0x00000000000020b0	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x00000000000020bc	000000b50000011b	R_AARCH64_CALL26	0x0000000000000000	i2c_smbus_read_word_data + 0
.rela.text	0x00000000000020cc	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000020d8	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x00000000000020e8	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000020f4	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000020f8	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000002104	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x0000000000002108	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000002128	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 20aa
.rela.text	0x000000000000212c	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 20aa
.rela.text	0x0000000000002130	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 20f9
.rela.text	0x0000000000002134	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 20f9
.rela.text	0x0000000000002140	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
.rela.text	0x0000000000002148	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 12ba
.rela.text	0x000000000000214c	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 12ba
.rela.text	0x0000000000002150	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 2444
.rela.text	0x0000000000002154	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 2444
.rela.text	0x0000000000002160	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
.rela.text	0x0000000000002188	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x0000000000002194	000000b50000011b	R_AARCH64_CALL26	0x0000000000000000	i2c_smbus_read_word_data + 0
.rela.text	0x00000000000021a4	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000021b0	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x00000000000021c0	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000021cc	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000021d0	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000021dc	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000021e0	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000002200	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 20aa
.rela.text	0x0000000000002204	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 20aa
.rela.text	0x0000000000002208	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 20f9
.rela.text	0x000000000000220c	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 20f9
.rela.text	0x0000000000002218	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
.rela.text	0x0000000000002220	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 17e6
.rela.text	0x0000000000002224	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 17e6
.rela.text	0x0000000000002228	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 106d
.rela.text	0x000000000000222c	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 106d
.rela.text	0x0000000000002238	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
.rela.text	0x0000000000002260	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x000000000000226c	000000b50000011b	R_AARCH64_CALL26	0x0000000000000000	i2c_smbus_read_word_data + 0
.rela.text	0x000000000000227c	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x0000000000002288	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x00000000000022a8	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000022b4	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000022b8	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000022c4	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000022c8	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000022e8	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 20aa
.rela.text	0x00000000000022ec	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 20aa
.rela.text	0x00000000000022f0	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 20f9
.rela.text	0x00000000000022f4	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 20f9
.rela.text	0x0000000000002300	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
