function	section	stock_offset	stock_size	recon_size	donor_size	stock_kcfi	recon_kcfi	bind	byte_identical
init_module	.init.text	0x4	44	44	44	0x36b1c5a6	0x36b1c5a6	GLOBAL	YES
cleanup_module	.exit.text	0x4	36	36	36	0xa540670c	0xa540670c	GLOBAL	YES
led_aw2103_get_boot_mode	.text	0x4	160	160	ABSENT	0x837de525	0x837de525	GLOBAL	YES
led_aw2103_control	.text	0xa8	296	296	ABSENT	0x36b1c5a6	0x36b1c5a6	GLOBAL	YES
aw2013_brightness_set	.text	0x1d4	740	740	856	0x140dd685	0x140dd685	LOCAL	YES
aw2013_remove	.text	0x4bc	64	64	104	0x8effdd6d	0x8effdd6d	LOCAL	YES
aw2013_probe	.text	0x500	1272	1272	908	0xcc836375	0xcc836375	LOCAL	YES
aw2013_blink_set	.text	0x9fc	492	492	492	0x6286520f	0x6286520f	LOCAL	YES
