relocation_section	offset	type	target_addend	owning_function
.rela.text	0xaa0	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xab0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 4e0	tiny2c_usb_probe
.rela.text	0xab4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 4e0	tiny2c_usb_probe
.rela.text	0xabc	R_AARCH64_CALL26	gpio_request + 0	tiny2c_usb_probe
.rela.text	0xad0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 4f2	tiny2c_usb_probe
.rela.text	0xad4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 4f2	tiny2c_usb_probe
.rela.text	0xad8	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0xadc	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0xae0	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xae4	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_probe
.rela.text	0xaec	R_AARCH64_CALL26	tiny2c_usb_power_init + 0	tiny2c_usb_probe
.rela.text	0xaf0	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_probe
.rela.text	0xaf8	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_probe
.rela.text	0xafc	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_probe
.rela.text	0xb00	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_probe
.rela.text	0xb0c	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_probe
.rela.text	0xb10	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_probe
.rela.text	0xb14	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_probe
.rela.text	0xb20	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_probe
.rela.text	0xb24	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_probe
.rela.text	0xb28	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_probe
.rela.text	0xb34	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_probe
.rela.text	0xb38	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_probe
.rela.text	0xb40	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 3c9	tiny2c_usb_probe
.rela.text	0xb44	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 3c9	tiny2c_usb_probe
.rela.text	0xb54	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xb58	R_AARCH64_ADR_PREL_PG_HI21	__this_module + 0	tiny2c_usb_probe
.rela.text	0xb5c	R_AARCH64_ADD_ABS_LO12_NC	__this_module + 0	tiny2c_usb_probe
.rela.text	0xb60	R_AARCH64_ADR_PREL_PG_HI21	tiny2c_usb_i2c_driver + 0	tiny2c_usb_probe
.rela.text	0xb64	R_AARCH64_ADD_ABS_LO12_NC	tiny2c_usb_i2c_driver + 0	tiny2c_usb_probe
.rela.text	0xb68	R_AARCH64_CALL26	i2c_register_driver + 0	tiny2c_usb_probe
.rela.text	0xb70	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_probe
.rela.text	0xb7c	R_AARCH64_CALL26	tiny2c_usb_power_init + 0	tiny2c_usb_probe
.rela.text	0xb80	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_probe
.rela.text	0xb88	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_probe
.rela.text	0xb8c	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_probe
.rela.text	0xb90	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_probe
.rela.text	0xb9c	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_probe
.rela.text	0xba0	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_probe
.rela.text	0xba4	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_probe
.rela.text	0xbb0	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_probe
.rela.text	0xbb4	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_probe
.rela.text	0xbb8	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_probe
.rela.text	0xbc4	R_AARCH64_CALL26	gpio_to_desc + 0	tiny2c_usb_probe
.rela.text	0xbc8	R_AARCH64_CALL26	gpiod_get_raw_value + 0	tiny2c_usb_probe
.rela.text	0xbd0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 3c9	tiny2c_usb_probe
.rela.text	0xbd4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 3c9	tiny2c_usb_probe
.rela.text	0xbe4	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xbe8	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 19f	tiny2c_usb_probe
.rela.text	0xbec	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 19f	tiny2c_usb_probe
.rela.text	0xbf0	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xbf4	R_AARCH64_ADR_PREL_PG_HI21	dev_attr_tiny2c_usb_mode + 0	tiny2c_usb_probe
.rela.text	0xbf8	R_AARCH64_ADD_ABS_LO12_NC	dev_attr_tiny2c_usb_mode + 0	tiny2c_usb_probe
.rela.text	0xc00	R_AARCH64_CALL26	device_create_file + 0	tiny2c_usb_probe
.rela.text	0xc04	R_AARCH64_ADR_PREL_PG_HI21	.rodata + 1d0	tiny2c_usb_probe
.rela.text	0xc08	R_AARCH64_ADD_ABS_LO12_NC	.rodata + 1d0	tiny2c_usb_probe
.rela.text	0xc10	R_AARCH64_ADR_PREL_PG_HI21	dev_attr_sensor_id + 0	tiny2c_usb_probe
.rela.text	0xc14	R_AARCH64_ADD_ABS_LO12_NC	dev_attr_sensor_id + 0	tiny2c_usb_probe
.rela.text	0xc1c	R_AARCH64_CALL26	device_create_file + 0	tiny2c_usb_probe
.rela.text	0xc2c	R_AARCH64_ADR_PREL_PG_HI21	.rodata + 1d8	tiny2c_usb_probe
.rela.text	0xc30	R_AARCH64_ADD_ABS_LO12_NC	.rodata + 1d8	tiny2c_usb_probe
.rela.text	0xc38	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 0	tiny2c_usb_probe
.rela.text	0xc3c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 0	tiny2c_usb_probe
.rela.text	0xc48	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 494	tiny2c_usb_probe
.rela.text	0xc4c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 494	tiny2c_usb_probe
.rela.text	0xc54	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xc5c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 2d0	tiny2c_usb_probe
.rela.text	0xc60	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 2d0	tiny2c_usb_probe
.rela.text	0xc68	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 1d2	tiny2c_usb_probe
.rela.text	0xc6c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 1d2	tiny2c_usb_probe
.rela.text	0xc70	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0xc74	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0xc78	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xc7c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 449	tiny2c_usb_probe
.rela.text	0xc80	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 449	tiny2c_usb_probe
.rela.text	0xc84	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xcc8	R_AARCH64_CALL26	device_remove_file + 0	tiny2c_usb_probe
.rela.text	0xcdc	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 466	tiny2c_usb_probe
.rela.text	0xce0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 466	tiny2c_usb_probe
.rela.text	0xce4	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xcf0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 163	tiny2c_usb_probe
.rela.text	0xcf4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 163	tiny2c_usb_probe
.rela.text	0xcf8	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xd14	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 6a	tiny2c_usb_remove
.rela.text	0xd18	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 6a	tiny2c_usb_remove
.rela.text	0xd1c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 47c	tiny2c_usb_remove
.rela.text	0xd20	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 47c	tiny2c_usb_remove
.rela.text	0xd28	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_remove
.rela.init.text	0x10	R_AARCH64_ADR_PREL_PG_HI21	.data + 2e8	init_module
.rela.init.text	0x14	R_AARCH64_ADD_ABS_LO12_NC	.data + 2e8	init_module
.rela.init.text	0x18	R_AARCH64_ADR_PREL_PG_HI21	__this_module + 0	init_module
.rela.init.text	0x1c	R_AARCH64_ADD_ABS_LO12_NC	__this_module + 0	init_module
.rela.init.text	0x20	R_AARCH64_CALL26	__platform_driver_register + 0	init_module
.rela.exit.text	0x10	R_AARCH64_ADR_PREL_PG_HI21	.data + 2e8	cleanup_module
.rela.exit.text	0x14	R_AARCH64_ADD_ABS_LO12_NC	.data + 2e8	cleanup_module
.rela.exit.text	0x18	R_AARCH64_CALL26	platform_driver_unregister + 0	cleanup_module
.rela.data	0x0	R_AARCH64_ABS64	.rodata.str1.1 + 297	-
.rela.data	0x10	R_AARCH64_ABS64	.text + 8c	-
.rela.data	0x18	R_AARCH64_ABS64	.text + 154	-
.rela.data	0x20	R_AARCH64_ABS64	.rodata.str1.1 + 4be	-
.rela.data	0x30	R_AARCH64_ABS64	.text + 2e4	-
.rela.data	0x48	R_AARCH64_ABS64	.text + 610	-
.rela.data	0x50	R_AARCH64_ABS64	.text + 898	-
.rela.data	0x78	R_AARCH64_ABS64	.rodata.str1.1 + 151	-
.rela.data	0x88	R_AARCH64_ABS64	__this_module + 0	-
.rela.data	0xa0	R_AARCH64_ABS64	.rodata + 40	-
.rela.data	0x128	R_AARCH64_ABS64	.rodata + 0	-
.rela.data	0x2e8	R_AARCH64_ABS64	.text + 8dc	-
.rela.data	0x2f0	R_AARCH64_ABS64	.text + d08	-
.rela.data	0x318	R_AARCH64_ABS64	.rodata.str1.1 + 3ba	-
.rela.data	0x328	R_AARCH64_ABS64	__this_module + 0	-
.rela.data	0x340	R_AARCH64_ABS64	.data + 158	-
.rela.rodata	0x1d0	R_AARCH64_ABS64	dev_attr_tiny2c_usb_mode + 0	-
.rela.rodata	0x1d8	R_AARCH64_ABS64	dev_attr_sensor_id + 0	-
.rela.init.data	0x0	R_AARCH64_ABS64	init_module + 0	-
.rela.exit.data	0x0	R_AARCH64_ABS64	cleanup_module + 0	-
.rela.eh_frame	0x1c	R_AARCH64_PREL32	.text + 4	-
.rela.eh_frame	0x4c	R_AARCH64_PREL32	.text + 8c	-
.rela.eh_frame	0x88	R_AARCH64_PREL32	.text + 154	-
.rela.eh_frame	0xc0	R_AARCH64_PREL32	.text + 2e4	-
.rela.eh_frame	0xec	R_AARCH64_PREL32	.text + 33c	-
.rela.eh_frame	0x124	R_AARCH64_PREL32	.text + 434	-
.rela.eh_frame	0x174	R_AARCH64_PREL32	.text + 610	-
.rela.eh_frame	0x1ac	R_AARCH64_PREL32	.text + 898	-
.rela.eh_frame	0x1d8	R_AARCH64_PREL32	.init.text + 4	-
.rela.eh_frame	0x204	R_AARCH64_PREL32	.exit.text + 4	-
.rela.eh_frame	0x230	R_AARCH64_PREL32	.text + 8dc	-
.rela.eh_frame	0x270	R_AARCH64_PREL32	.text + d08	-
.rela.gnu.linkonce.this_module	0x170	R_AARCH64_ABS64	init_module + 0	-
.rela.gnu.linkonce.this_module	0x3d8	R_AARCH64_ABS64	cleanup_module + 0	-
