seq	offset	op	size	raw_hex	detail
68	0x025b	2	20	02aa3e10074105231c40a24230170c0010030003	WRITE addr=0x55 reg=0x3e len=16 data=074105231c40a24230170c0010030003
69	0x026f	4	4	04020002	WAIT ms=2 selector=2
70	0x0273	2	6	02aa6002e612	WRITE addr=0x55 reg=0x60 len=2 data=e612
71	0x0279	4	4	04020005	WAIT ms=5 selector=2
72	0x027d	2	26	02aa3e16154109c40a8c140a1405a06407d00003050514041acc	WRITE addr=0x55 reg=0x3e len=22 data=154109c40a8c140a1405a06407d00003050514041acc
73	0x0297	4	4	04020002	WAIT ms=2 selector=2
74	0x029b	2	6	02aa60022918	WRITE addr=0x55 reg=0x60 len=2 data=2918
75	0x02a1	4	4	04020005	WAIT ms=5 selector=2
76	0x02a5	2	37	02aa3e210042aa01610367052507ab096e0baf0d0a0fd311f11330157217fc191c1b1b1d53	WRITE addr=0x55 reg=0x3e len=33 data=0042aa01610367052507ab096e0baf0d0a0fd311f11330157217fc191c1b1b1d53
77	0x02ca	4	4	04020002	WAIT ms=2 selector=2
78	0x02ce	2	6	02aa60028723	WRITE addr=0x55 reg=0x60 len=2 data=8723
79	0x02d4	4	4	04020005	WAIT ms=5 selector=2
80	0x02d8	2	37	02aa3e211f42b52082228024862623288d2a882c292e8c309232d0341136b3385c3ade3c16	WRITE addr=0x55 reg=0x3e len=33 data=1f42b52082228024862623288d2a882c292e8c309232d0341136b3385c3ade3c16
81	0x02fd	4	4	04020002	WAIT ms=2 selector=2
82	0x0301	2	6	02aa60024c23	WRITE addr=0x55 reg=0x60 len=2 data=4c23
83	0x0307	4	4	04020005	WAIT ms=5 selector=2
84	0x030b	2	11	02aa3e073e4226e6267d33	WRITE addr=0x55 reg=0x3e len=7 data=3e4226e6267d33
85	0x0316	4	4	04020002	WAIT ms=2 selector=2
86	0x031a	2	6	02aa60029d09	WRITE addr=0x55 reg=0x60 len=2 data=9d09
87	0x0320	4	4	04020005	WAIT ms=5 selector=2
88	0x0324	2	28	02aa3e1843420000116311590180f894fa35fed5fc18006f00320032	WRITE addr=0x55 reg=0x3e len=24 data=43420000116311590180f894fa35fed5fc18006f00320032
89	0x0340	4	4	04020002	WAIT ms=2 selector=2
90	0x0344	2	6	02aa6002a61a	WRITE addr=0x55 reg=0x60 len=2 data=a61a
91	0x034a	4	4	04020005	WAIT ms=5 selector=2
92	0x034e	2	38	02aa3e2259422000000000000000000000000000000000000000000000000000000000000000	WRITE addr=0x55 reg=0x3e len=34 data=59422000000000000000000000000000000000000000000000000000000000000000
93	0x0374	4	4	04020002	WAIT ms=2 selector=2
94	0x0378	2	6	02aa60024424	WRITE addr=0x55 reg=0x60 len=2 data=4424
95	0x037e	4	4	04020005	WAIT ms=5 selector=2
96	0x0382	2	7	02aa3e03794200	WRITE addr=0x55 reg=0x3e len=3 data=794200
97	0x0389	4	4	04020002	WAIT ms=2 selector=2
98	0x038d	2	6	02aa60024405	WRITE addr=0x55 reg=0x60 len=2 data=4405
99	0x0393	4	4	04020005	WAIT ms=5 selector=2
100	0x0397	2	12	02aa3e087a422f8f36650000	WRITE addr=0x55 reg=0x3e len=8 data=7a422f8f36650000
101	0x03a3	4	4	04020002	WAIT ms=2 selector=2
102	0x03a7	2	6	02aa6002ea0a	WRITE addr=0x55 reg=0x60 len=2 data=ea0a
103	0x03ad	4	4	04020005	WAIT ms=5 selector=2
104	0x03b1	2	38	02aa3e228242000000007fff7fff00000000807f000000000000000000000000000000000000	WRITE addr=0x55 reg=0x3e len=34 data=8242000000007fff7fff00000000807f000000000000000000000000000000000000
105	0x03d7	4	4	04020002	WAIT ms=2 selector=2
106	0x03db	2	6	02aa60024024	WRITE addr=0x55 reg=0x60 len=2 data=4024
107	0x03e1	4	4	04020005	WAIT ms=5 selector=2
108	0x03e5	2	38	02aa3e22a2420000000000000000000000000000000000000000000000000000000000000000	WRITE addr=0x55 reg=0x3e len=34 data=a2420000000000000000000000000000000000000000000000000000000000000000
109	0x040b	4	4	04020002	WAIT ms=2 selector=2
110	0x040f	2	6	02aa60021b24	WRITE addr=0x55 reg=0x60 len=2 data=1b24
111	0x0415	4	4	04020005	WAIT ms=5 selector=2
112	0x0419	2	18	02aa3e0ec242000000000000000000000000	WRITE addr=0x55 reg=0x3e len=14 data=c242000000000000000000000000
113	0x042b	4	4	04020002	WAIT ms=2 selector=2
114	0x042f	2	6	02aa6002fb10	WRITE addr=0x55 reg=0x60 len=2 data=fb10
115	0x0435	4	4	04020005	WAIT ms=5 selector=2
116	0x0439	2	37	02aa3e210044ff01610367052507ab096e0baf0d0a0fd311f11330157217fc191c1b1b1d53	WRITE addr=0x55 reg=0x3e len=33 data=0044ff01610367052507ab096e0baf0d0a0fd311f11330157217fc191c1b1b1d53
117	0x045e	4	4	04020002	WAIT ms=2 selector=2
118	0x0462	2	6	02aa60023023	WRITE addr=0x55 reg=0x60 len=2 data=3023
119	0x0468	4	4	04020005	WAIT ms=5 selector=2
120	0x046c	2	37	02aa3e211f44e02082228024862623288d2a882c292e8c309232d0341136b3385c3ade3c16	WRITE addr=0x55 reg=0x3e len=33 data=1f44e02082228024862623288d2a882c292e8c309232d0341136b3385c3ade3c16
121	0x0491	4	4	04020002	WAIT ms=2 selector=2
122	0x0495	2	6	02aa60021f23	WRITE addr=0x55 reg=0x60 len=2 data=1f23
123	0x049b	4	4	04020005	WAIT ms=5 selector=2
124	0x049f	2	16	02aa3e0c3e4401010000000000000000	WRITE addr=0x55 reg=0x3e len=12 data=3e4401010000000000000000
125	0x04af	4	4	04020002	WAIT ms=2 selector=2
126	0x04b3	2	6	02aa60027b0e	WRITE addr=0x55 reg=0x60 len=2 data=7b0e
