sha256	module_name	filename	locations	crc	symbol
28fb6a324e432547b98f618d7981a4940dc3e5bf9b319b0181b339d3e8bd062b	mtk_disp_notify	mtk_disp_notify.ko	vendor_boot_platform	0x92997ed8	_printk
28fb6a324e432547b98f618d7981a4940dc3e5bf9b319b0181b339d3e8bd062b	mtk_disp_notify	mtk_disp_notify.ko	vendor_boot_platform	0xbb0c86a5	blocking_notifier_chain_register
28fb6a324e432547b98f618d7981a4940dc3e5bf9b319b0181b339d3e8bd062b	mtk_disp_notify	mtk_disp_notify.ko	vendor_boot_platform	0x963aa2a9	blocking_notifier_chain_unregister
28fb6a324e432547b98f618d7981a4940dc3e5bf9b319b0181b339d3e8bd062b	mtk_disp_notify	mtk_disp_notify.ko	vendor_boot_platform	0x8317ad7c	blocking_notifier_call_chain
28fb6a324e432547b98f618d7981a4940dc3e5bf9b319b0181b339d3e8bd062b	mtk_disp_notify	mtk_disp_notify.ko	vendor_boot_platform	0xea759d7f	module_layout
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x894c433a	__platform_driver_register
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xe1b15563	platform_driver_unregister
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xef3cb484	_dev_info
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xd50f026e	devm_kmalloc
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x100b434b	dev_get_regmap
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xf27ed00b	_dev_err
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x4f49d69f	device_property_read_string
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x752e64c4	device_property_read_u32_array
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xd4b590ed	device_property_present
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x7436d39e	_dev_notice
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x253af43d	delayed_work_timer_fn
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x79cf5987	init_timer_key
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xa33a8bc2	devm_iio_channel_get_all
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x126f9b9b	tcpc_device_unregister
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xc2c193d2	__stack_chk_fail
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x3ce4ca6f	disable_irq
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x1c7ea990	device_wakeup_disable
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x490c3055	device_set_wakeup_capable
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xf8beca97	cancel_delayed_work_sync
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x3b13f1ba	tcpm_shutdown
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x8c0215f2	pm_system_wakeup
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x16e9a06b	tcpci_lock_typec
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xff65f0c0	tcpci_is_plugged_in
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x7a0d7b35	tcpci_unlock_typec
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x2d3385d3	system_wq
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xbf57e89e	queue_delayed_work_on
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x117b6a26	tcpc_typec_handle_wd
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x6536e1a8	tcpci_notify_vbus_short_cc_status
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xf0a933ca	tcpc_device_register
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xc3055d20	usleep_range_state
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x7923336f	platform_get_irq_byname
