symbol	section	offset_hex	size	binding	visibility	kcfi_id	exported
custom_ldo_vout	.text	0x4	28	GLOBAL	DEFAULT	0x56e5b5a5	yes
custom_ldo_en	.text	0x24	28	GLOBAL	DEFAULT	0x56e5b5a5	yes
