symbol	stock_crc	rebuild_crc	prototype	kcfi	stock_consumer	consumer_crc	status
tiny_tp_gesture_contorl	0x4e4b7919	0x4e4b7919	void tiny_tp_gesture_contorl(int enable)	0x019c0cac	spi_tiny_co5300_lcd.ko	0x4e4b7919	EXACT
tiny_tp_power_contorl	0xfcc94fc7	0xfcc94fc7	void tiny_tp_power_contorl(int enable)	0x019c0cac	spi_tiny_co5300_lcd.ko	0xfcc94fc7	EXACT
