name	bind	size	value	section	kcfi_id
aw36515_probe	Local	1032	0x4	.text	0x5ef138aa
aw36515_subdev_init	Local	956	0x478	.text	
aw36515_remove	Local	104	0x410	.text	0x8effdd6d
aw36515_open	Local	160	0x838	.text	0x59c4d434
aw36515_close	Local	40	0x8dc	.text	0x59c4d434
aw36515_led0_get_ctrl	Local	208	0x908	.text	0x94281efb
aw36515_led0_set_ctrl	Local	32	0x9dc	.text	0x94281efb
aw36515_set_ctrl	Local	908	0xaf8	.text	
aw36515_led1_get_ctrl	Local	212	0xa00	.text	0x94281efb
aw36515_led1_set_ctrl	Local	32	0xad8	.text	0x94281efb
aw36515_torch_brt_ctrl	Local	244	0xe84	.text	
aw36515_flash_open	Local	8	0xf7c	.text	0x36b1c5a6
aw36515_flash_release	Local	8	0xf88	.text	0x36b1c5a6
aw36515_ioctl	Local	436	0xf94	.text	0x44a5bdc2
aw36515_strobe_store	Local	368	0x114c	.text	0x55f4a884
aw36515_set_driver	Local	360	0x12c0	.text	0x00050794
reg_show	Local	212	0x142c	.text	0xdf43c25c
reg_store	Local	144	0x1504	.text	0x95a8ba07
aw36515_cooling_get_max_state	Local	20	0x1598	.text	0xc8202036
aw36515_cooling_get_cur_state	Local	20	0x15b0	.text	0xc8202036
aw36515_cooling_set_cur_state	Local	372	0x15c8	.text	0x8b35064f
init_module	Global	44	0x4	.init.text	0x36b1c5a6
cleanup_module	Global	36	0x4	.exit.text	0xa540670c
