adapter_dev_authentication	adapter_class	lib/modules/adapter_class.ko
adapter_dev_enable_wdt	adapter_class	lib/modules/adapter_class.ko
adapter_dev_exit_mode	adapter_class	lib/modules/adapter_class.ko
adapter_dev_get_cap	adapter_class	lib/modules/adapter_class.ko
adapter_dev_get_output	adapter_class	lib/modules/adapter_class.ko
adapter_dev_get_property	adapter_class	lib/modules/adapter_class.ko
adapter_dev_get_status	adapter_class	lib/modules/adapter_class.ko
adapter_device_register	adapter_class	lib/modules/adapter_class.ko
adapter_device_unregister	adapter_class	lib/modules/adapter_class.ko
adapter_dev_is_cc	adapter_class	lib/modules/adapter_class.ko
adapter_dev_send_hardreset	adapter_class	lib/modules/adapter_class.ko
adapter_dev_set_cap	adapter_class	lib/modules/adapter_class.ko
adapter_dev_set_wdt	adapter_class	lib/modules/adapter_class.ko
adapter_dev_sync_volt	adapter_class	lib/modules/adapter_class.ko
adsp_after_bootup	adsp	lib/modules/adsp.ko
adsp_bus_monitor_dump	adsp	lib/modules/adsp.ko
adsp_check_adsppll_freq	adsp	lib/modules/adsp.ko
adsp_copy_from_sharedmem	adsp	lib/modules/adsp.ko
adsp_copy_to_sharedmem	adsp	lib/modules/adsp.ko
adsp_core0_init	adsp	lib/modules/adsp.ko
adsp_core1_init	adsp	lib/modules/adsp.ko
adsp_dbg_dump_init	adsp	lib/modules/adsp.ko
adsp_deregister_feature	adsp	lib/modules/adsp.ko
adsp_get_reserve_mem_phys	adsp	lib/modules/adsp.ko
adsp_get_reserve_mem_size	adsp	lib/modules/adsp.ko
adsp_get_reserve_mem_virt	adsp	lib/modules/adsp.ko
adsp_icc_bw_req	adsp	lib/modules/adsp.ko
adsp_ipic_probe	adsp	lib/modules/adsp.ko
adsp_ipi_registration	adsp	lib/modules/adsp.ko
adsp_ipi_unregistration	adsp	lib/modules/adsp.ko
adsp_mbox_probe	adsp	lib/modules/adsp.ko
adsp_mem_device_probe	adsp	lib/modules/adsp.ko
adsp_mt_clr_auidoirq	adsp	lib/modules/adsp.ko
adsp_mt_clr_sysirq	adsp	lib/modules/adsp.ko
adsp_mt_disable_wdt	adsp	lib/modules/adsp.ko
adsp_push_message	adsp	lib/modules/adsp.ko
adsp_qos_probe	adsp	lib/modules/adsp.ko
adsp_register_feature	adsp	lib/modules/adsp.ko
adsp_register_notify	adsp	lib/modules/adsp.ko
adsp_send_message	adsp	lib/modules/adsp.ko
adsp_send_vp_irq	adsp	lib/modules/adsp.ko
adsp_set_scene_bw	adsp	lib/modules/adsp.ko
adsp_system_bootup	adsp	lib/modules/adsp.ko
adsp_threaded_irq_registration	adsp	lib/modules/adsp.ko
adsp_unregister_notify	adsp	lib/modules/adsp.ko
aed_combo_exception_api	aee_aed	lib/modules/aee_aed.ko
aed_common_exception_api	aee_aed	lib/modules/aee_aed.ko
aed_get_status	aee_aed	lib/modules/aee_aed.ko
aed_md32_exception_api	aee_aed	lib/modules/aee_aed.ko
aed_md_exception_api	aee_aed	lib/modules/aee_aed.ko
aed_scp_exception_api	aee_aed	lib/modules/aee_aed.ko
aee_get_etext	mrdump	lib/modules/mrdump.ko
aee_get_init_begin	mrdump	lib/modules/mrdump.ko
aee_get_mode	aee_aed	lib/modules/aee_aed.ko
aee_get_stext	mrdump	lib/modules/mrdump.ko
aee_is_printk_too_much	aee_aed	lib/modules/aee_aed.ko
aee_kernel_exception_api_func	aee_aed	lib/modules/aee_aed.ko
aee_kernel_fatal_api_func	aee_aed	lib/modules/aee_aed.ko
aee_kernel_reminding_api	aee_aed	lib/modules/aee_aed.ko
aee_kernel_warning_api_func	aee_aed	lib/modules/aee_aed.ko
aee_log_buf_addr_get	mrdump	lib/modules/mrdump.ko
aee_rr_curr_gpu_dvfs_status	mrdump	lib/modules/mrdump.ko
aee_rr_curr_gpu_dvfs_vgpu	mrdump	lib/modules/mrdump.ko
aee_rr_curr_ptp_gpu_volt_1	mrdump	lib/modules/mrdump.ko
aee_rr_curr_ptp_gpu_volt_2	mrdump	lib/modules/mrdump.ko
aee_rr_curr_ptp_gpu_volt_3	mrdump	lib/modules/mrdump.ko
aee_rr_curr_ptp_gpu_volt	mrdump	lib/modules/mrdump.ko
