object	stock_section	stock_offset	stock_size	recon_section	recon_size	verdict
lcm_panel_init.d.73	.rodata	0x2b7	3	.rodata	3	BYTE_IDENTICAL
lcm_panel_init.d.74	.rodata	0x2ba	22	.rodata	22	BYTE_IDENTICAL
lcm_panel_init.d.75	.rodata	0x2d0	22	.rodata	22	BYTE_IDENTICAL
lcm_panel_init.d.76	.rodata	0x2e6	3	.rodata	3	BYTE_IDENTICAL
lcm_panel_init.d.77	.rodata	0x2e9	3	.rodata	3	BYTE_IDENTICAL
lcm_panel_init.d.78	.rodata	0x2ec	2	.rodata	2	BYTE_IDENTICAL
lcm_panel_init.d.79	.rodata	0x2ee	2	.rodata	2	BYTE_IDENTICAL
lcm_unprepare.d	.rodata	0x2f0	1	.rodata	1	BYTE_IDENTICAL
lcm_unprepare.d.86	.rodata	0x2f1	1	.rodata	1	BYTE_IDENTICAL
default_mode	.rodata	0x2f8	120	.rodata	120	BYTE_IDENTICAL
performance_mode_90hz	.rodata	0x370	120	.rodata	120	BYTE_IDENTICAL
performance_mode_120hz	.rodata	0x3e8	120	.rodata	120	BYTE_IDENTICAL
____versions	__versions	0x0	2880	__versions	2880	SIZE_IDENTICAL_RELOCATION_OR_DATA_DELTA
