file_offset	string
0x8522	3[HYN] cinfo->x[%d] = %d, cinfo->y[%d] = %d, cinfo->p[%d] = %d
0x8563	3[HYN][Error]Key Y Coords undefined!
0x858a	3[HYN][Info]register(0x%02x).
0x85ab	3[HYN][HYN]Send cmd 0xD110 failed.\x20
0x85d7	3[HYN]Resume !!!
0x85ea	3[HYN][Error]  send read touch info ending failed.
0x8620	3[HYN][Info]display x(%d ) y(%d )
0x8644	3[HYN][Error][GPIO]reset gpio request failed
0x8676	3[HYN]client addr is different,now use default addr,please confirm. client->addr=0x%x, default iic addr=0x%x.
0x86e8	3[HYN]Suspend !!!
0x86fc	3[HYN][Error]  buf[0]=0xAB,data is not valid..
0x872f	3[HYN][Error]DTS Unable to get irq_gpio
0x8759	3[HYN][Error]I2C not supported
0x8779	hyn_i2c_read_bytes
0x878d	3[HYN][Info]hynitron_debug sys node create error.
0x87c2	3[HYN]%s: Exit(%d)
0x87d7	3[HYN][Error]Key code undefined!
0x87f9	hynitron,key-y-coord
0x880f	3[HYN][Error]hyn_firmware_info failed,start check boot.
0x8849	hyn_detect_bootloader
0x885f	cst644K_bootloader_enter
0x8879	3[HYN]1. gesture state= 0x01.
0x8899	hyn_gesture_mode
0x88aa	Gesture Point Buf:
0x88bf	3[HYN][Info]check_gesture ======================gesture_id==0x%x   ================
0x8917	3[HYN][Info]set key capabilities
0x8939	hyn_ts_data_init
0x894b	3[HYN]config_chip_type:0x%x,main_addr:0x%x,x_overturn=%d,y_overturn=%d,xy_exchange=%d,.
0x89a7	3[HYN]KEY Number:%d, key_x_coords:%d, key_y_coords:%d, key_code:%d.
0x89ee	3[HYN][Error]invalid:%s, size:%d
0x8a11	3[HYN]second_tiny_tpgesture_status = %d
0x8a3c	3[HYN][Info]hyn_fwupgradeapp_store exit.
0x8a67	cst8xx_bootloader_enter
0x8a80	3[HYN][Error]Failed to allocate memory for input device
0x8ab9	hyn_wq
0x8ac1	3[HYN][Error]Set TP to sleep mode mutcap
0x8aec	3[HYN][Error]hynitron_power_contorl data pointor is null,no the device\x20
0x8b36	tpd_touchinfo
0x8b45	3[HYN]carrot; Number of touch points = %d
0x8b70	hyntpfwver
0x8b7c	3[HYN][Info]hyn_irq_enable enter.
0x8ba1	3[HYN][Error]not find matched TP firmware,please check chip type and chip project id. !
0x8bfb	cst2xx_bootloader_enter
0x8c13	hyn_gesture_readdata
0x8c28	Gesture Mode: %s
0x8c3b	3[HYN][Info]register(0x%x).
0x8c5a	3[HYN]cst6xx_bootloader_enter detect success,buf[0]=0x%x.
0x8c97	3[HYN]cst1xx_bootloader_enter detect success,buf[0]=%d.
0x8cd2	3[HYN]cst8xx_touch_report start
0x8cf3	hynitron,have-key
0x8d05	hynfwupdate
0x8d12	3[HYN][Info]set work_mode(0x%02x).
0x8d38	3[HYN][Info]fwname:%s.length:%d.
0x8d5c	3[HYN][Info]hyntpfactory_show enter.
0x8d84	3[HYN][Info]hyntpfactory_store enter.
0x8dac	capacitive_hynitron_cst8xx_update
0x8dcf	3[HYN]exit bootloader mode,client->addr:0x%x.
0x8e01	3[HYN]3. gesture state= 0x01.
0x8e21	hyn_gesture_exit
0x8e32	hyn_ts
0x8e3a	3[HYN]Key(%d,%d) Down
0x8e51	hyn_irq_registration
0x8e66	Hynitron TouchScreen Qualcomm Driver V2.1 20201222
0x8e99	hyn_create_sysfs
0x8eaa	buf0:%d,buf1:%d,buf2:%d,buf3:%d,buf4:%d,buf5:%d .
0x8ede	3[HYN][Info]chip_ic_type :0x%x, chip_ic_project_id:0x%x
0x8f1a	3[HYN][Error]cst6xx_bootloader_enter error,please check VCC/RST/SDA/SCL and chip type.
0x8f75	3[HYN]4. only double gesture state(0xe5)= 0x01.
0x8fa8	3[HYN]config [hyn] scan_id = %d
0x8fcb	3[HYN] disen !!!
0x8fdd	hynitron,display-coords
0x8ff5	cst8xx_firmware_info
0x900b	3[HYN][Error]hyn_ts_data->p_hynitron_upgrade_firmware is NULL .
0x904d	Gesture PointNum: %d
