module_name,normalized_name,classifications,status,nothing_target_hits,nothing_source_hits,mt6878_target_hits,mt6878_source_hits,target_examples,source_examples
mtk_tinysys_ipi,mtk_tinysys_ipi,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/soc/mediatek/Makefile:11:obj-$(CONFIG_MTK_IPI) += mtk_tinysys_ipi.o,device_modules/drivers/soc/mediatek/mtk_tinysys_ipi.c
mtk_u_ether,mtk_u_ether,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/usb/usb_rndis/Makefile:10:obj-$(CONFIG_MTK_USB_U_ETHER)	+= mtk_u_ether.o,
mtk_uart_apdma,mtk_uart_apdma,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/dma/mediatek/Makefile:5:obj-$(CONFIG_DEVICE_MODULES_MTK_UART_APDMA) += mtk-uart-apdma.o,device_modules/drivers/dma/mediatek/mtk-uart-apdma.c
mtk_usb_f_rndis,mtk_usb_f_rndis,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/usb/usb_rndis/Makefile:11:obj-$(CONFIG_MTK_USB_F_RNDIS)	+= mtk_usb_f_rndis.o,
mtk_vcodec_common,mtk_vcodec_common,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/media/platform/mtk-vcodec/Makefile:3:obj-$(CONFIG_DEVICE_MODULES_VIDEO_MEDIATEK_VCODEC) += mtk-vcodec-common.o,
mtk_vcodec_dec_v1,mtk_vcodec_dec_v1,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/media/platform/mtk-vcodec/Makefile:30:obj-$(CONFIG_DEVICE_MODULES_VIDEO_MEDIATEK_VCODEC) += mtk-vcodec-dec-v1.o \,
mtk_vcodec_enc_v1,mtk_vcodec_enc_v1,LIKELY_PLATFORM_MATCH,UNRESOLVED,0,0,0,0,,
mtk_vcu,mtk_vcu,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/media/platform/mtk-vcu/Makefile:7:obj-$(CONFIG_VIDEO_MEDIATEK_VCU) += mtk-vcu.o,device_modules/drivers/media/platform/mtk-vcu/mtk_vcu.c
mtk_vmm_isp71_regulator,mtk_vmm_isp71_regulator,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/regulator/Makefile:20:obj-$(CONFIG_REGULATOR_MTK_VMM_ISP71) += mtk-vmm-isp71-regulator.o,device_modules/drivers/regulator/mtk-vmm-isp71-regulator.c
mtk_vmm_notifier,mtk_vmm_notifier,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/vmm/Makefile:3:obj-$(CONFIG_MTK_VMM_NOTIFIER) += mtk-vmm-notifier.o,device_modules/drivers/misc/mediatek/vmm/mtk-vmm-notifier.c
mtk_vmm_spm,mtk_vmm_spm,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/vmm_spm/Makefile:7:obj-$(CONFIG_MTK_VMM_SPM) += mtk-vmm-spm.o,device_modules/drivers/misc/mediatek/vmm_spm/mtk-vmm-spm.c
mtk_vow,mtk_vow,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,2,0,0,0,device_modules/drivers/misc/mediatek/vow/ver01/Makefile:22:obj-$(CONFIG_MTK_VOW_SUPPORT) += mtk-vow.o || device_modules/drivers/misc/mediatek/vow/ver02/Makefile:22:obj-$(CONFIG_MTK_VOW_SUPPORT) += mtk-vow.o,
mtk_wdt,mtk_wdt,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/watchdog/Makefile:6:obj-$(CONFIG_DEVICE_MODULES_MEDIATEK_WATCHDOG) += mtk_wdt.o,device_modules/drivers/watchdog/mtk_wdt.c
mtk_wp,mtk_wp,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/mmc/host/Makefile:15:obj-$(CONFIG_DEVICE_MODULES_MMC_MTK_WP)		    += mtk-wp.o,device_modules/drivers/mmc/host/mtk-wp.c
mtu3,mtu3,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/usb/mtu3/Makefile:13:obj-$(CONFIG_DEVICE_MODULES_USB_MTU3)	+= mtu3.o,
mux_switch,mux_switch,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/typec/mux/Makefile:7:obj-$(CONFIG_MTK_USB_TYPEC_MUX) += mux_switch.o,device_modules/drivers/misc/mediatek/typec/mux/mux_switch.c
nfc,nfc,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
nhc_dest,nhc_dest,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
nhc_fragment,nhc_fragment,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
nhc_hop,nhc_hop,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
nhc_ipv6,nhc_ipv6,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
nhc_mobility,nhc_mobility,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
nhc_routing,nhc_routing,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
nhc_udp,nhc_udp,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
nvmem_mt635x_efuse,nvmem_mt635x_efuse,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/nvmem/Makefile:5:obj-$(CONFIG_MT635X_EFUSE)	+= nvmem-mt635x-efuse.o,
nvmem_mtk_devinfo,nvmem_mtk_devinfo,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/nvmem/Makefile:3:obj-$(CONFIG_MTK_DEVINFO)	+= nvmem_mtk-devinfo.o,
pd_chk_mt6878,pd_chk_mt6878,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,1,0,device_modules/drivers/clk/mediatek/Makefile:176:obj-$(CONFIG_COMMON_CLK_MT6878) += pd-chk-mt6878.o,
pd_dbg_info,pd_dbg_info,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/typec/tcpc/Makefile:24:obj-$(CONFIG_TCPC_CLASS) += tcpc_class.o tcpci_late_sync.o pd_dbg_info.o rt_pd_manager.o,device_modules/drivers/misc/mediatek/typec/tcpc/pd_dbg_info.c
pda_drv_mt6878,pda_drv_mt6878,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,1,0,device_modules/drivers/misc/mediatek/cameraisp/pda/Makefile:58:obj-$(CONFIG_MTK_CAMERA_ISP_PDA_SUPPORT) += pda_drv_mt6878.o,
phy_mtk_ufs,phy_mtk_ufs,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/phy/mediatek/Makefile:13:obj-$(CONFIG_DEVICE_MODULES_PHY_MTK_UFS)              += phy-mtk-ufs.o,device_modules/drivers/phy/mediatek/phy-mtk-ufs.c
phy_mtk_xsphy,phy_mtk_xsphy,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/phy/mediatek/Makefile:14:obj-$(CONFIG_DEVICE_MODULES_PHY_MTK_XSPHY)		+= phy-mtk-xsphy.o,device_modules/drivers/phy/mediatek/phy-mtk-xsphy.c
pidmap,pidmap,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/pidmap/Makefile:14:obj-$(CONFIG_MTK_PID_MAP)	+= pidmap.o,device_modules/drivers/misc/mediatek/pidmap/pidmap.c
pinctrl_mt6363,pinctrl_mt6363,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/pinctrl/mediatek/Makefile:35:obj-$(CONFIG_PINCTRL_MT6363)	+= pinctrl-mt6363.o,device_modules/drivers/pinctrl/mediatek/pinctrl-mt6363.c
pinctrl_mt6878,pinctrl_mt6878,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,1,1,device_modules/drivers/pinctrl/mediatek/Makefile:41:obj-$(CONFIG_PINCTRL_MT6878)	+= pinctrl-mt6878.o,device_modules/drivers/pinctrl/mediatek/pinctrl-mt6878.c
pinctrl_mtk_common_v2_debug,pinctrl_mtk_common_v2_debug,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,2,1,0,0,device_modules/drivers/pinctrl/mediatek/Makefile:26:obj-y += pinctrl-paris.o pinctrl-mtk-common-v2_debug.o || device_modules/drivers/pinctrl/mediatek/Makefile:29:obj-m += pinctrl-mtk-common-v2_debug.o,device_modules/drivers/pinctrl/mediatek/pinctrl-mtk-common-v2_debug.c
pinctrl_mtk_v2,pinctrl_mtk_v2,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,3,0,0,0,device_modules/drivers/pinctrl/mediatek/Makefile:6:obj-m += pinctrl-mtk-v2.o || device_modules/drivers/pinctrl/mediatek/Makefile:8:obj-m += pinctrl-mtk-v2.o || device_modules/drivers/pinctrl/mediatek/Makefile:10:obj-m += pinctrl-mtk-v2.o,
pmic_lbat_service,pmic_lbat_service,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/power_throttling/Makefile:13:obj-$(CONFIG_PMIC_LBAT_SERVICE) += pmic_lbat_service.o,device_modules/drivers/misc/mediatek/power_throttling/pmic_lbat_service.c
pmic_lvsys_notify,pmic_lvsys_notify,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/power_throttling/Makefile:14:obj-$(CONFIG_PMIC_LBAT_SERVICE) += pmic_lvsys_notify.o,device_modules/drivers/misc/mediatek/power_throttling/pmic_lvsys_notify.c
pmic_temp,pmic_temp,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/thermal/mediatek/Makefile:14:obj-$(CONFIG_MTK_PMIC_THERMAL) += pmic_temp.o,device_modules/drivers/thermal/mediatek/pmic_temp.c
powerhal_cpu_ctrl,powerhal_cpu_ctrl,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/performance/powerhal_cpu_ctrl/Makefile:20:obj-$(CONFIG_MTK_PERFORMANCE_MODULE) += powerhal_cpu_ctrl.o,device_modules/drivers/misc/mediatek/performance/powerhal_cpu_ctrl/powerhal_cpu_ctrl.c
ppp_deflate,ppp_deflate,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
ppp_generic,ppp_generic,DIRECT_SOURCE_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
ppp_mppe,ppp_mppe,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
pppox,pppox,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
pptp,pptp,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
pwm_mtk_disp,pwm_mtk_disp,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/pwm/Makefile:3:obj-$(CONFIG_DEVICE_MODULES_PWM_MTK_DISP)	+= pwm-mtk-disp.o,device_modules/drivers/pwm/pwm-mtk-disp.c
r8152,r8152,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
r8153_ecm,r8153_ecm,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
reboot_mode,reboot_mode,LIKELY_PLATFORM_MATCH,UNRESOLVED,0,0,0,0,,
regulator_vibrator,regulator_vibrator,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/leds/Makefile:12:obj-$(CONFIG_LEDS_REGULATOR_VIBRATOR)	+= regulator-vibrator.o,device_modules/drivers/leds/regulator-vibrator.c
reset_ti_syscon,reset_ti_syscon,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/reset/Makefile:2:obj-$(CONFIG_DEVICE_MODULES_RESET_TI_SYSCON) += reset-ti-syscon.o,device_modules/drivers/reset/reset-ti-syscon.c
rfcomm,rfcomm,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
rfkill,rfkill,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
rpmb,rpmb,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/char/rpmb/Makefile:16:obj-$(CONFIG_RPMB) += rpmb.o,
rpmb_mtk,rpmb_mtk,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/char/rpmb/Makefile:14:obj-$(CONFIG_RPMB) += rpmb-mtk.o,device_modules/drivers/char/rpmb/rpmb-mtk.c
rps_perf,rps_perf,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/rps/Makefile:2:obj-$(CONFIG_MTK_NET_RPS)  := rps_perf.o,device_modules/drivers/misc/mediatek/rps/rps_perf.c
