symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list
__clk_is_enabled,0xc6a4a872,KERNEL_OR_BUILTIN,,0,clk_common;clk_disable_unused;mali_kbase_mt6878_r44;mdp_drv_mt6878;mtk_ccuv;mtk_mmc_dbg,6,6,0,1,0,0,1,1,1,1
__clk_mux_determine_rate_closest,0x585eaed3,KERNEL_OR_BUILTIN,,0,clk_common,1,1,0,1,0,0,0,0,1,1
__const_udelay,0xeae3dfd6,KERNEL_OR_BUILTIN,,0,8250_mtk;adsp;aee_aed;aee_hangdet;apu_top;apusys;asix;board_temp;bt_drv_6878;cache_parity;ccci_ccif;ccci_dpmaif;ccci_md_all;clk_chk_mt6878;clk_common;clk_fmeter_mt6878;clkbuf;conninfra;dw9781c;emi_fake_eng;fhctl;focaltech_touch_spi_ft3680;hci_uart;hynitron;i2c_mt65xx;imgsensor;main2_vcm;main3_vcm;main4_vcm;main_vcm;mali_kbase_mt6878_r44;mediatek_drm;mediatek_drm_gateic;mediatek_drm_panel_drv;mmqos_common;mrdump;mt6363_regulator;mt6369_accdet;mt6369_regulator;mt6375_auxadc;mt6375_battery;mtk_cam_isp7sp;mtk_ccuv;mtk_dpc;mtk_dvfsrc;mtk_dvfsrc_helper;mtk_gpufreq_mt6878;mtk_iommu;mtk_lpm_dbg_common_v2;mtk_mmc;mtk_mmc_dbg;mtk_mmdvfs_v3;mtk_mminfra_debug;mtk_mml;mtk_perf_common;mtk_pwm;mtk_scpsys;mtk_smi_dbg;mtk_spmi_pmic_adc;mtk_tinysys_ipi;mtk_uart_apdma;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;mtk_vmm_spm;mtk_wdt;mtu3;nvmem_mt635x_efuse;pd_chk_mt6878;phy_mtk_ufs;phy_mtk_xsphy;pinctrl_mtk_common_v2_debug;pinctrl_mtk_v2;pmic_lbat_service;rt5133_regulator;rtc_mt6685;scp;sh366003_fg;snd_soc_mt6878_afe;soc_temp_lvts;spi_mt65xx;spi_tiny_co5300_lcd;spmi_mtk_pmif;sub_vcm;tcpc_mt6375;uarthub_drv;ufs_mediatek_mod;vcp;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2;yft_tiny2c_usb,90,90,0,1,0,0,1,1,1,1
__copy_overflow,0x7682ba4e,KERNEL_OR_BUILTIN,,0,aee_aed;apusys;aw883xx_driver;bt_drv_6878;camera_dpe_isp7sp;custom_ldo_wl2868;gps_drv_dl_v051;gz_main_mod;mediatek_drm;mtk_mbraink;wlan_drv_gen4m_6878,11,11,0,1,0,0,0,0,1,1
__cpu_active_mask,0x15db3b99,KERNEL_OR_BUILTIN,,0,cpufreq_sugov_ext;lpm_gov_MHSP;monitor_hang;mtk_core_ctl;mtk_fpsgo;mtk_perf_ioctl_magt;scheduler;task_turbo,8,8,0,1,0,0,1,1,1,1
__cpu_online_mask,0xac594e02,KERNEL_OR_BUILTIN,,0,aee_aed;aee_hangdet;apu_top;apusys;arm_dsu_pmu;blocktag;bt_drv_6878;cfg80211;cpufreq_sugov_ext;cpuqos_v3;ged;gz_ipc_mod;gz_trusty_mod;gz_virtio_mod;ieee802154;imgsensor;l2tp_core;lpm_gov_MHSP;mac80211;mac802154;mali_kbase_mt6878_r44;md_cooling_all;mediatek_drm;met;mmqos_common;monitor_hang;mtk_c2ps;mtk_cam_isp7sp;mtk_cg_peak_power_throttling;mtk_core_ctl;mtk_cpu_power_throttling;mtk_dvfsrc_regulator;mtk_emi;mtk_fpsgo;mtk_gpu_power_throttling;mtk_gpufreq_wrapper;mtk_icc_core;mtk_imgsys_cmdq;mtk_imgsys_v4l2;mtk_low_battery_throttling;mtk_lpm;mtk_lpm_dbg_common_v2;mtk_lpm_plat_v1;mtk_mbox;mtk_mbraink;mtk_mmdvfs_ftrace;mtk_peak_power_budget;mtk_perf_common;mtk_vmm_isp71_regulator;mtu3;powerhal_cpu_ctrl;rps_perf;rtc_mt6685;scheduler;snd_soc_audiodsp_common;task_turbo;thermal_trace;timer_mediatek;tipc;tkcore_drv;touch_boost;trace_mmstat;ufs_mediatek_mod;usb_logger;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2,66,66,0,1,0,0,1,1,1,1
__cpu_possible_mask,0xde7ece30,KERNEL_OR_BUILTIN,,0,8021q;aee_hangdet;blocktag;ccci_dpmaif;cpufreq_sugov_ext;gz_ipc_mod;gz_irq_mod;gz_trusty_mod;gz_virtio_mod;load_track;lpm_gov_MHSP;mac80211;mediatek_cpufreq_hw;met;monitor_hang;mrdump;mtk_cg_peak_power_throttling;mtk_cm_mgr;mtk_core_ctl;mtk_cpu_power_throttling;mtk_fpsgo;mtk_lpm_dbg_common_v2;mtk_lpm_plat_v1;mtk_mbraink;mtk_pbm;mtk_perf_common;mtk_perf_ioctl_magt;mtk_swpm_dbg_common_v1;mtk_swpm_perf_arm_pmu;powerhal_cpu_ctrl;ppp_generic;scheduler;task_turbo;thermal_interface;thermal_trace;timer_mediatek;tipc;tkcore;tkcore_drv;touch_boost;uload_ind;usb_boost;usbnet;wlan_drv_gen4m_6878;zram,45,45,0,1,0,0,1,1,1,1
__cpu_present_mask,0xb3055449,KERNEL_OR_BUILTIN,,0,mrdump;mtk_lpm_dbg_common_v2,2,2,0,1,0,0,1,1,1,1
__cpufreq_driver_target,0xaa4f60c2,KERNEL_OR_BUILTIN,,0,cpufreq_sugov_ext,1,1,0,1,0,0,1,1,1,1
__cpuhp_remove_state,0x82d7e59a,KERNEL_OR_BUILTIN,,0,arm_dsu_pmu;gz_irq_mod;met;mtk_core_ctl;tkcore_drv;zram;zsmalloc,7,7,0,1,0,0,1,1,1,1
__cpuhp_setup_state,0x4d01ac5c,KERNEL_OR_BUILTIN,,0,aee_hangdet;arm_dsu_pmu;gz_irq_mod;lpm_gov_MHSP;met;mtk_core_ctl;mtk_lpm_plat_v1;tkcore_drv;zram;zsmalloc,10,10,0,1,0,0,1,1,1,1
__cpuhp_state_add_instance,0xf4b5123c,KERNEL_OR_BUILTIN,,0,arm_dsu_pmu;gz_irq_mod;zram,3,3,0,1,0,0,1,1,1,1
__cpuhp_state_remove_instance,0x37e793c1,KERNEL_OR_BUILTIN,,0,arm_dsu_pmu;gz_irq_mod;zram,3,3,0,1,0,0,1,1,1,1
__crypto_memneq,0x5a44f8cb,KERNEL_OR_BUILTIN,,0,bluetooth;mac80211,2,3,0,1,0,0,0,0,1,1
__crypto_xor,0xa3f12f69,KERNEL_OR_BUILTIN,,0,mac80211,1,1,0,1,0,0,0,0,1,1
__dev_change_net_namespace,0x80432a75,KERNEL_OR_BUILTIN,,0,cfg80211;ieee802154,2,2,0,1,0,0,0,0,1,1
__dev_get_by_index,0xecfcb475,KERNEL_OR_BUILTIN,,0,8021q;can_gw;cfg80211;ieee802154;tipc,5,5,0,1,0,0,0,0,1,1
__dev_get_by_name,0xd26df809,KERNEL_OR_BUILTIN,,0,8021q,1,1,0,1,0,0,0,0,1,1
__dev_kfree_skb_any,0x28b967c1,KERNEL_OR_BUILTIN,,0,aqc111;asix;ax88179_178a;can_dev;ccci_dpmaif;ccci_md_all;cdc_eem;cdc_ncm;mac80211;mac802154;mtk_u_ether;mtk_usb_f_rndis;r8152;usbnet;wlan_drv_gen4m_6878,15,15,0,1,0,0,1,1,1,1
