symbol	crc
i2c_register_driver	0x50f5d94e
i2c_del_driver	0xfee5be94
devm_kmalloc	0xd50f026e
__devm_regmap_init_i2c	0x1bab1211
__mutex_init	0xa571f6b0
of_get_named_gpio_flags	0xb9ab15e7
devm_gpio_request_one	0xc4a21586
pm_runtime_enable	0x6a902ced
of_get_next_child	0x96461ca6
of_property_read_variable_u32_array	0x94a3f9c7
snprintf	0x656e4a6e
flashlight_dev_register_by_device_id	0xe8fd8896
device_create_file	0xe25f59ab
thermal_of_cooling_device_register	0xaaba57f7
regmap_read	0xe4fcaad8
msleep	0xf9a482f9
_printk	0x92997ed8
regmap_write	0x2971bc8d
__stack_chk_fail	0xc2c193d2
thermal_cooling_device_unregister	0xec93f466
v4l2_device_unregister_subdev	0x833bc630
v4l2_ctrl_handler_free	0x2cac929d
__pm_runtime_disable	0x05e59274
__pm_runtime_set_status	0x22808c6a
v4l2_subdev_init	0x44e14219
strnlen	0xa916b694
strscpy	0xdd64e639
of_get_child_by_name	0xa3308a92
of_find_node_by_name	0xc473e973
v4l2_ctrl_handler_init_class	0x699e1454
v4l2_ctrl_new_std_menu	0x63b9ef43
v4l2_ctrl_new_std	0x8e267b3b
media_entity_pads_init	0xd2c7eba4
v4l2_async_register_subdev	0x64ab86bc
fortify_panic	0xcbd4898c
__pm_runtime_resume	0xabe820ab
alt_cb_patch_nops	0x1348649e
__pm_runtime_idle	0x14cee5de
mutex_lock	0xd5977bfb
mutex_unlock	0xed55cabd
regmap_update_bits_base	0xb1d8e449
flashlight_kicker_pbm	0x8287fd03
flashlight_pt_is_low	0xe39abd31
gpio_to_desc	0x0ec43f6f
gpiod_set_raw_value	0x8dae9ed0
sscanf	0xbcab6ee6
module_layout	0xea759d7f
