sha256	module_name	filename	locations	symbol
012154006ea26048afb958202d54744ff53889dd7b408d0c59ca681a3edcd004	pmic_lvsys_notify	pmic_lvsys_notify.ko	vendor_boot_platform	lvsys_register_notifier
012154006ea26048afb958202d54744ff53889dd7b408d0c59ca681a3edcd004	pmic_lvsys_notify	pmic_lvsys_notify.ko	vendor_boot_platform	lvsys_unregister_notifier
0136628a3419d3c7d02274cb4056c343bd463cba7115eb1f19625d524402cfa9	mt6685_audclk	mt6685-audclk.ko	vendor_boot_platform	mt6685_set_dcxo
0136628a3419d3c7d02274cb4056c343bd463cba7115eb1f19625d524402cfa9	mt6685_audclk	mt6685-audclk.ko	vendor_boot_platform	mt6685_set_dcxo_mode
037175478603983d5a333186c803bc2d9e424939ad87f8e8d088062400e25386	mtk_swpm_dbg_common_v1	mtk-swpm-dbg-common-v1.ko	vendor_dlkm	swpm_dbg_common_fs_exit
037175478603983d5a333186c803bc2d9e424939ad87f8e8d088062400e25386	mtk_swpm_dbg_common_v1	mtk-swpm-dbg-common-v1.ko	vendor_dlkm	swpm_dbg_common_fs_init
037175478603983d5a333186c803bc2d9e424939ad87f8e8d088062400e25386	mtk_swpm_dbg_common_v1	mtk-swpm-dbg-common-v1.ko	vendor_dlkm	swpm_gpu_debug
037175478603983d5a333186c803bc2d9e424939ad87f8e8d088062400e25386	mtk_swpm_dbg_common_v1	mtk-swpm-dbg-common-v1.ko	vendor_dlkm	swpm_status
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	TEEC_AllocateSharedMemory
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	TEEC_CloseSession
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	TEEC_FinalizeContext
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	TEEC_InitializeContext
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	TEEC_InvokeCommand
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	TEEC_OpenSession
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	TEEC_RegisterSharedMemory
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	TEEC_ReleaseSharedMemory
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	__tee_get
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_clkmgr_handle
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_clkmgr_register
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_core_add
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_core_alloc
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_core_del
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_core_free
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_map_cached_shm
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_spi_cfg_padsel
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_spi_transfer
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_spi_transfer_disable
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_supp_cmd
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_unmap_cached_shm
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_wait_queue_exit
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_wait_queue_init
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_wait_queue_sleep
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226	tkcore	tkcore.ko	vendor_boot_platform	tee_wait_queue_wakeup
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	is_afe_need_triggered
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_add_sub_dai_control
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_combine_sub_dai
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_debug_write_reg
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_debugfs_open
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_debugfs_write
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_fe_hw_free
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_fe_hw_params
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_fe_ops
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_fe_prepare
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_fe_shutdown
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_fe_startup
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_fe_trigger
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_pcm_ack
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_pcm_copy_user
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_pcm_free
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_pcm_new
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_pcm_open
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_pcm_platform
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_pcm_pointer
0675b943ec9255c8ca4adf8506ea247ae25a2e9175607aa9b2001cc87ef5fbd1	snd_soc_mtk_common	snd-soc-mtk-common.ko	vendor_dlkm	mtk_afe_resume
