index	relocation_section	target_section	offset_hex	type	symbol	addend	info	symbol_value
341	.rela.text	.text	0x1250	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	676	0000009500000113	0000000000000000
342	.rela.text	.text	0x1254	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	676	0000009500000115	0000000000000000
343	.rela.text	.text	0x1264	R_AARCH64_CALL26	_dev_info	0	000000ab0000011b	0000000000000000
344	.rela.text	.text	0x1270	R_AARCH64_CALL26	__stack_chk_fail	0	000000aa0000011b	0000000000000000
345	.rela.text	.text	0x1294	R_AARCH64_CALL26	power_supply_get_drvdata	0	000000be0000011b	0000000000000000
346	.rela.text	.text	0x12d0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	378	0000009500000113	0000000000000000
347	.rela.text	.text	0x12d4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	378	0000009500000115	0000000000000000
348	.rela.text	.text	0x12d8	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	325	0000009500000113	0000000000000000
349	.rela.text	.text	0x12dc	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	325	0000009500000115	0000000000000000
350	.rela.text	.text	0x12e8	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	a13	0000009500000113	0000000000000000
351	.rela.text	.text	0x12ec	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	a13	0000009500000115	0000000000000000
352	.rela.text	.text	0x12f4	R_AARCH64_CALL26	_dev_info	0	000000ab0000011b	0000000000000000
353	.rela.text	.text	0x1388	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	6be	0000009500000113	0000000000000000
354	.rela.text	.text	0x138c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	6be	0000009500000115	0000000000000000
355	.rela.text	.text	0x1390	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	247	0000009500000113	0000000000000000
356	.rela.text	.text	0x1394	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	247	0000009500000115	0000000000000000
357	.rela.text	.text	0x139c	R_AARCH64_CALL26	_dev_info	0	000000ab0000011b	0000000000000000
358	.rela.text	.text	0x13b8	R_AARCH64_CALL26	regmap_field_update_bits_base	0	000000ac0000011b	0000000000000000
359	.rela.text	.text	0x13c8	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	83c	0000009500000113	0000000000000000
360	.rela.text	.text	0x13cc	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	83c	0000009500000115	0000000000000000
361	.rela.text	.text	0x13d4	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
362	.rela.text	.text	0x13dc	R_AARCH64_CALL26	msleep	0	000000b00000011b	0000000000000000
363	.rela.text	.text	0x13f8	R_AARCH64_CALL26	regmap_bulk_read	0	000000bf0000011b	0000000000000000
364	.rela.text	.text	0x1408	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	5d	0000009500000113	0000000000000000
365	.rela.text	.text	0x140c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	5d	0000009500000115	0000000000000000
366	.rela.text	.text	0x1418	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
367	.rela.text	.text	0x142c	R_AARCH64_ADR_PREL_PG_HI21	.rodata	978	0000008000000113	0000000000000000
368	.rela.text	.text	0x1430	R_AARCH64_ADD_ABS_LO12_NC	.rodata	978	0000008000000115	0000000000000000
369	.rela.text	.text	0x143c	R_AARCH64_ADR_PREL_PG_HI21	.rodata	9a0	0000008000000113	0000000000000000
370	.rela.text	.text	0x1440	R_AARCH64_ADD_ABS_LO12_NC	.rodata	9a0	0000008000000115	0000000000000000
371	.rela.text	.text	0x1448	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	6c4	0000009500000113	0000000000000000
372	.rela.text	.text	0x144c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	6c4	0000009500000115	0000000000000000
373	.rela.text	.text	0x1468	R_AARCH64_CALL26	_dev_info	0	000000ab0000011b	0000000000000000
374	.rela.text	.text	0x1470	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	9ab	0000009500000113	0000000000000000
375	.rela.text	.text	0x1474	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	9ab	0000009500000115	0000000000000000
376	.rela.text	.text	0x147c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	f1	0000009500000113	0000000000000000
