
Symbol table '.symtab' contains 165 entries:
   Num:    Value          Size Type    Bind   Vis       Ndx Name
    75: 0000000000001380     0 NOTYPE  LOCAL  DEFAULT    13 $x.61
    76: 000000000000005b     0 NOTYPE  LOCAL  DEFAULT    23 $d.62
    77: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    24 $d.63
    78: 0000000000000000     8 OBJECT  LOCAL  DEFAULT    25 __UNIQUE_ID___addressable_init_module457
    79: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    25 $d.65
    80: 0000000000000000     8 OBJECT  LOCAL  DEFAULT    27 __UNIQUE_ID___addressable_cleanup_module458
    81: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    27 $d.66
    82: 0000000000000000    44 OBJECT  LOCAL  DEFAULT    29 __UNIQUE_ID_description459
    83: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    29 $d.67
    84: 000000000000002c    15 OBJECT  LOCAL  DEFAULT    29 __UNIQUE_ID_license460
    85: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    30 $d.68
    86: 0000000000000000   400 OBJECT  LOCAL  DEFAULT    32 wl2864c_dt_match
    87: 0000000000000190    64 OBJECT  LOCAL  DEFAULT    32 wl2864c_id
    88: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    32 $d.69
    89: 00000000000001d0   272 OBJECT  LOCAL  DEFAULT    32 wl2864c_fops
    90: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    34 $d.75
    91: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    12 $d.76
    92: 0000000000000000     0 SECTION LOCAL  DEFAULT     1 __ksymtab
    93: 0000000000000000     0 SECTION LOCAL  DEFAULT     3 .altinstructions
    94: 0000000000000000     0 SECTION LOCAL  DEFAULT     4 __jump_table
    95: 0000000000000000     0 SECTION LOCAL  DEFAULT    12 .init.eh_frame
    96: 0000000000000000     0 SECTION LOCAL  DEFAULT    13 .text
    97: 0000000000000000     0 SECTION LOCAL  DEFAULT    17 .init.text
    98: 0000000000000000     0 SECTION LOCAL  DEFAULT    19 .exit.text
    99: 0000000000000000     0 SECTION LOCAL  DEFAULT    24 .bss
   100: 0000000000000000     0 SECTION LOCAL  DEFAULT    25 .init.data
   101: 0000000000000000     0 SECTION LOCAL  DEFAULT    27 .exit.data
   102: 0000000000000000     0 SECTION LOCAL  DEFAULT    29 .modinfo
   103: 0000000000000000     0 SECTION LOCAL  DEFAULT    30 .data
   104: 0000000000000000     0 SECTION LOCAL  DEFAULT    32 .rodata
   105: 0000000000000000     0 SECTION LOCAL  DEFAULT    36 .llvm_addrsig
   106: 0000000000000004     0 NOTYPE  LOCAL  DEFAULT     2 __crc_will_ldo_vout
   107: 0000000000000004     0 NOTYPE  LOCAL  DEFAULT     2 $d.1
   108: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT     2 __crc_will_ldo_en
   109: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT     2 $d.2
   110: 0000000000000000    24 OBJECT  LOCAL  DEFAULT    37 _note_9
   111: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    37 $d.3
   112: 0000000000000018    24 OBJECT  LOCAL  DEFAULT    37 _note_10
   113: 000000000000003b    87 OBJECT  LOCAL  DEFAULT    29 __UNIQUE_ID_vermagic333
   114: 000000000000003b     0 NOTYPE  LOCAL  DEFAULT    29 $d.4
   115: 0000000000000092    23 OBJECT  LOCAL  DEFAULT    29 __UNIQUE_ID_name334
   116: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    38 $d.5
   117: 0000000000000000  1728 OBJECT  LOCAL  DEFAULT    40 ____versions
   118: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    40 $d.6
   119: 00000000000000a9     9 OBJECT  LOCAL  DEFAULT    29 __UNIQUE_ID_depends335
   120: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT    34 $d.10
   121: 0000000000000000     0 SECTION LOCAL  DEFAULT     2 __kcrctab
   122: 0000000000000000     0 SECTION LOCAL  DEFAULT    37 .note.Linux
   123: 0000000000000000     0 SECTION LOCAL  DEFAULT    38 .gnu.linkonce.this_module
   124: 0000000000000000     0 SECTION LOCAL  DEFAULT    40 __versions
   125: 0000000000000000     0 SECTION LOCAL  DEFAULT    15 __ksymtab_strings
   126: 0000000000000000     0 SECTION LOCAL  DEFAULT    23 .rodata.str1.1
